ID,Region,District,Education,Gender_HH_Head,Age_HH_Head,Household_Size,Dependents,Livelihood_Main,Livelihood_Secondary,Crop,Yield,Farm_Size_Acres,Water_Source,Irrigation,Livestock_TLU,Food_Insecurity_Score,Food_Consumption_Score,Months_Food_Secure,Coping_Strategy_Index,Savings_UGX,Loan_UGX,Income_UGX,Expenditure_Food_Pct,Shocks_Last_Year,Assistance_Received
495,Northern,Kampala,Secondary,Male,21,8,0,Fishing,Salaried Employment,Beans,0.5,0.6,Borehole,Yes,5.5,2,26,8,25,404740,117942,724316,75,Flood,Food
496,Northern,Mbale,None,Male,25,3,3,Charcoal Burning,Construction,Maize,0.5,4.5,Borehole,Yes,6.3,0,98,5,29,679663,485571,772470,54,Drought,Food
497,Northern,Gulu,Secondary,Male,55,9,2,Small Business,Small Business,Coffee,0.5,6.0,Rain,Yes,0.6,4,36,10,28,219976,379535,267578,39,None,Food
498,Western,Mbarara,Secondary,Male,60,8,3,Subsistence Farming,Commercial Farming,Maize,6.43,5.6,Borehole,Yes,6.0,7,21,9,9,140179,42968,548567,38,Price Rise,None
499,Eastern,Mbarara,University,Male,47,2,4,Boda Boda,Salaried Employment,Beans,0.5,3.3,Borehole,No,5.8,1,35,12,32,583491,75352,596424,67,Flood,None
500,Northern,Gulu,Secondary,Male,20,4,4,Fishing,Charcoal Burning,Maize,0.5,3.5,Rain,Yes,1.1,6,94,11,21,678375,470450,316852,51,Flood,Food
501,Central,Gulu,None,Female,73,5,3,Commercial Farming,Small Business,Beans,2.82,2.0,Rain,Yes,6.5,3,30,9,6,771734,481391,1677440,70,Drought,Food
502,Northern,Kampala,None,Male,62,9,0,Construction,Fishing,Coffee,0.5,3.4,Borehole,Yes,0.8,5,87,2,3,262354,371581,396463,75,Price Rise,Food
503,Western,Gulu,Primary,Female,65,9,2,Small Business,Subsistence Farming,Maize,0.5,1.7,Rain,Yes,6.9,0,105,4,22,908189,247528,191495,44,None,Cash
504,Northern,Mbarara,Secondary,Male,23,9,3,Subsistence Farming,Subsistence Farming,Beans,5.19,4.0,Borehole,Yes,7.7,6,42,11,21,3651,79574,540649,49,None,None
505,Western,Mbarara,None,Male,19,2,3,Boda Boda,Commercial Farming,Coffee,0.5,5.0,Rain,Yes,4.0,2,82,8,17,742102,210098,287954,42,Drought,Food
506,Northern,Gulu,None,Male,71,2,0,Livestock,Livestock,Coffee,0.5,3.2,Rain,Yes,7.6,9,40,8,18,296993,98935,470830,40,Price Rise,Cash
507,Northern,Mbarara,Primary,Female,19,8,2,Construction,Fishing,Coffee,0.5,3.4,Rain,No,6.2,9,33,2,12,63308,79637,717758,38,Drought,None
508,Northern,Gulu,None,Female,74,7,0,Small Business,Boda Boda,Beans,0.5,0.9,Borehole,No,7.5,5,88,7,21,374895,203476,785605,55,Flood,Cash
509,Western,Gulu,None,Male,72,7,0,Boda Boda,Salaried Employment,Maize,0.5,2.3,Rain,No,6.3,9,24,6,34,626278,309461,336751,53,None,None
510,Central,Mbarara,University,Male,26,6,4,Casual Labor,Casual Labor,Beans,0.5,1.2,Rain,No,4.2,0,88,6,28,113361,32367,656066,76,None,None
511,Central,Gulu,University,Female,42,8,4,Construction,Fishing,Maize,0.5,1.7,Borehole,No,7.0,5,39,11,29,156183,40454,315624,54,Price Rise,Food
512,Eastern,Mbale,None,Female,72,4,1,Small Business,Fishing,Coffee,0.5,1.9,Rain,No,0.8,6,23,2,30,164068,492601,151064,48,None,Cash
513,Western,Mbarara,Secondary,Female,56,3,0,Small Business,Salaried Employment,Beans,0.5,4.7,Borehole,No,6.8,3,79,8,20,322190,234905,533257,46,Flood,Food
514,Northern,Mbarara,Primary,Female,38,4,1,Casual Labor,Livestock,Maize,0.5,4.0,Borehole,No,3.1,7,21,7,1,662119,134081,592741,62,Drought,Food
515,Eastern,Mbarara,Secondary,Female,49,9,2,Livestock,Fishing,Coffee,0.5,6.0,Rain,No,3.2,10,86,10,32,287196,359687,292005,56,Price Rise,Food
516,Northern,Mbale,None,Male,60,4,2,Livestock,Boda Boda,Coffee,0.5,2.5,Rain,Yes,1.3,10,38,5,2,380050,474646,594704,64,Flood,Cash
517,Western,Gulu,University,Female,25,6,1,Small Business,Subsistence Farming,Beans,0.5,0.9,Rain,No,0.2,9,99,9,18,707726,388411,887787,72,Price Rise,Food
518,Eastern,Kampala,Secondary,Male,23,4,3,Fishing,Construction,Coffee,0.5,5.9,Borehole,No,7.9,5,93,3,30,427431,14581,344066,56,Drought,Food
519,Eastern,Gulu,Secondary,Male,27,7,0,Construction,Fishing,Beans,0.5,3.9,Borehole,Yes,2.8,8,106,5,16,641077,162786,881035,74,Price Rise,Food
520,Northern,Mbale,University,Female,32,5,0,Subsistence Farming,Subsistence Farming,Coffee,6.38,2.3,Rain,No,7.7,5,78,8,33,90760,386788,356994,67,Price Rise,Cash
521,Central,Mbale,University,Female,48,7,0,Subsistence Farming,Small Business,Beans,1.2,1.9,Rain,No,5.7,1,21,11,30,847629,33056,508111,42,Drought,Food
522,Western,Mbarara,Secondary,Male,65,10,1,Small Business,Construction,Maize,0.5,3.4,Borehole,No,3.0,10,59,2,27,83300,10130,424444,43,None,Food
523,Western,Kampala,Primary,Male,53,7,0,Boda Boda,Small Business,Coffee,0.5,4.1,Borehole,Yes,3.8,5,103,8,13,656488,87841,863770,51,Drought,Cash
524,Western,Mbale,University,Female,25,8,4,Construction,Charcoal Burning,Coffee,0.5,0.6,Rain,Yes,4.0,4,43,12,2,493765,315350,249654,63,Price Rise,Cash
525,Western,Kampala,None,Male,22,9,3,Boda Boda,Salaried Employment,Coffee,0.5,3.2,Rain,Yes,1.5,4,93,11,21,130244,317560,827040,54,Price Rise,Cash
526,Northern,Gulu,Primary,Male,57,5,0,Salaried Employment,Fishing,Coffee,0.5,0.3,Rain,No,5.6,0,58,11,8,3981,242590,2100397,58,Price Rise,None
527,Eastern,Mbale,University,Female,67,9,2,Fishing,Commercial Farming,Beans,0.5,1.6,Rain,No,1.5,5,72,11,0,181918,16744,347896,69,Price Rise,Cash
528,Eastern,Gulu,None,Female,47,5,2,Subsistence Farming,Subsistence Farming,Coffee,5.9,1.1,Rain,Yes,1.7,7,89,10,9,773339,499149,291287,74,Drought,Food
529,Western,Mbale,University,Male,53,5,2,Small Business,Salaried Employment,Beans,0.5,0.6,Borehole,Yes,0.7,0,73,6,17,111287,272808,863637,46,Flood,Cash
530,Central,Gulu,University,Female,63,9,0,Fishing,Small Business,Maize,0.5,3.7,Borehole,No,3.8,2,36,4,24,395614,235269,315742,70,Drought,Food
531,Western,Kampala,University,Female,41,2,3,Subsistence Farming,Subsistence Farming,Coffee,1.69,1.8,Borehole,No,6.5,0,69,7,31,318585,223571,367290,66,Drought,Food
532,Central,Mbarara,Primary,Male,59,10,4,Small Business,Livestock,Maize,0.5,3.2,Rain,No,1.4,7,27,3,32,374997,420897,838674,36,None,None
533,Eastern,Gulu,University,Male,61,10,0,Subsistence Farming,Commercial Farming,Maize,0.77,4.9,Borehole,No,5.7,5,76,7,9,921610,400274,216657,66,None,Cash
534,Eastern,Mbarara,None,Male,24,8,2,Charcoal Burning,Small Business,Maize,0.5,5.2,Borehole,Yes,1.2,1,86,9,0,358281,55797,882571,40,Price Rise,Cash
535,Northern,Gulu,University,Male,61,8,4,Casual Labor,Construction,Beans,0.5,3.5,Borehole,No,6.9,2,24,11,30,385802,66145,757833,84,Price Rise,Cash
536,Central,Mbarara,Secondary,Female,28,10,4,Livestock,Fishing,Coffee,0.5,2.9,Rain,No,2.3,2,67,9,4,20396,370780,388174,44,Flood,Food
537,Western,Gulu,Secondary,Male,47,4,1,Charcoal Burning,Boda Boda,Coffee,0.5,4.2,Rain,Yes,3.3,2,104,5,31,107778,203876,548468,82,Price Rise,Food
538,Northern,Mbale,Primary,Female,74,9,3,Casual Labor,Salaried Employment,Coffee,0.5,2.8,Rain,Yes,1.1,2,70,8,23,608326,281374,538990,47,Price Rise,Cash
539,Eastern,Kampala,Secondary,Male,39,5,3,Casual Labor,Casual Labor,Maize,0.5,5.2,Borehole,Yes,0.1,4,110,2,31,49172,401036,659787,55,Flood,Cash
540,Eastern,Gulu,University,Female,34,2,4,Small Business,Commercial Farming,Maize,0.5,0.7,Borehole,No,5.0,7,58,8,19,483473,236778,601735,55,None,Cash
541,Eastern,Mbale,None,Female,65,6,0,Charcoal Burning,Charcoal Burning,Coffee,0.5,2.1,Rain,No,0.2,2,102,8,18,372304,189730,657340,80,None,Cash
542,Northern,Mbarara,University,Male,30,5,4,Boda Boda,Commercial Farming,Beans,0.5,5.6,Rain,Yes,2.2,1,55,7,2,316872,270580,228670,73,Flood,Food
543,Western,Mbale,None,Male,71,4,0,Small Business,Salaried Employment,Beans,0.5,3.1,Rain,Yes,5.1,4,71,12,21,924734,170063,295691,72,Flood,Cash
544,Western,Kampala,Secondary,Female,54,7,2,Livestock,Subsistence Farming,Coffee,0.5,1.0,Rain,Yes,0.2,7,93,5,17,592975,228031,821277,43,None,Food
545,Central,Gulu,None,Female,26,8,0,Boda Boda,Livestock,Beans,0.5,4.2,Rain,Yes,4.8,9,25,4,32,749170,257550,611451,48,Flood,Food
546,Western,Mbale,Primary,Female,48,5,0,Casual Labor,Casual Labor,Maize,0.5,4.1,Borehole,Yes,1.3,0,47,7,20,7094,386609,242414,53,Drought,None
547,Central,Mbale,Primary,Male,64,8,1,Livestock,Casual Labor,Coffee,0.5,4.2,Borehole,Yes,7.9,9,107,11,8,456612,104343,222746,41,Drought,None
548,Western,Mbarara,None,Male,22,8,4,Charcoal Burning,Commercial Farming,Beans,0.5,1.5,Borehole,No,5.9,4,106,6,32,247927,90072,605744,38,Flood,None
549,Northern,Kampala,University,Female,46,9,1,Commercial Farming,Livestock,Maize,1.34,5.4,Borehole,No,7.5,2,69,2,19,651593,274764,2923126,48,None,None
550,Western,Kampala,Secondary,Male,46,6,1,Construction,Casual Labor,Maize,0.5,3.4,Rain,Yes,0.7,4,104,2,15,594068,144762,329765,67,Drought,Food
551,Central,Mbarara,None,Female,72,8,3,Charcoal Burning,Salaried Employment,Coffee,0.5,0.2,Rain,Yes,1.1,10,70,3,4,691981,422431,663321,46,Price Rise,Food
552,Central,Mbale,None,Male,29,4,3,Charcoal Burning,Charcoal Burning,Beans,0.5,5.8,Rain,Yes,7.9,6,78,12,5,837166,93902,724798,38,None,Food
553,Central,Mbale,Primary,Female,70,2,4,Subsistence Farming,Salaried Employment,Beans,1.83,4.7,Borehole,No,1.2,7,40,9,32,602074,306566,510030,44,None,Food
554,Northern,Mbale,University,Female,38,8,1,Small Business,Livestock,Beans,0.5,2.5,Borehole,Yes,7.2,6,40,2,27,927950,476086,126627,67,Drought,None
555,Central,Kampala,Primary,Female,48,6,4,Small Business,Boda Boda,Maize,0.5,4.9,Borehole,No,0.2,8,91,9,13,524689,53594,629838,74,None,Cash
556,Eastern,Mbale,University,Male,45,4,0,Commercial Farming,Casual Labor,Beans,3.7,0.8,Rain,No,1.4,2,30,8,3,131182,301831,1415365,56,Flood,Cash
557,Western,Mbarara,University,Male,68,4,0,Commercial Farming,Subsistence Farming,Maize,1.38,3.3,Borehole,No,6.1,3,65,6,21,123987,320045,2614956,52,Price Rise,Food
558,Eastern,Mbarara,None,Male,26,9,4,Small Business,Salaried Employment,Maize,0.5,2.2,Rain,Yes,0.5,5,109,7,3,415171,332471,600687,53,Price Rise,Food
559,Western,Gulu,Secondary,Male,47,6,3,Fishing,Charcoal Burning,Maize,0.5,5.2,Borehole,No,3.6,9,23,12,16,802094,300184,417310,66,Drought,None
560,Eastern,Gulu,None,Female,54,5,2,Salaried Employment,Subsistence Farming,Maize,0.5,3.2,Borehole,Yes,1.5,3,79,4,16,93012,86681,2010650,67,None,None
561,Central,Gulu,University,Male,42,6,4,Salaried Employment,Small Business,Maize,0.5,5.7,Borehole,Yes,3.1,6,40,8,8,12640,202409,3431651,62,None,Cash
562,Eastern,Mbarara,University,Male,72,6,0,Commercial Farming,Livestock,Maize,2.88,1.0,Borehole,Yes,6.6,2,100,12,31,881199,238052,2478920,68,Drought,None
563,Northern,Mbarara,Primary,Male,47,4,1,Commercial Farming,Commercial Farming,Coffee,4.47,4.8,Borehole,No,4.3,4,110,6,26,34008,281184,2358999,73,Price Rise,None
564,Central,Mbale,Primary,Male,26,5,1,Small Business,Construction,Maize,0.5,2.2,Rain,No,1.3,9,63,4,9,5261,109956,681564,78,Price Rise,Cash
565,Northern,Kampala,Secondary,Male,74,6,2,Subsistence Farming,Small Business,Maize,3.42,1.1,Borehole,No,0.9,7,40,11,25,236336,64616,232881,50,None,None
566,Central,Mbale,Primary,Male,47,4,0,Livestock,Salaried Employment,Coffee,0.5,1.6,Borehole,Yes,4.6,4,50,10,33,989148,128412,590458,72,None,None
567,Western,Gulu,Secondary,Male,31,6,2,Construction,Subsistence Farming,Maize,0.5,6.0,Borehole,No,0.1,1,56,5,33,399602,146582,655298,72,None,Food
568,Northern,Gulu,None,Female,67,9,4,Casual Labor,Subsistence Farming,Beans,0.5,4.0,Borehole,No,4.3,5,42,11,18,125426,80334,734557,65,Flood,None
569,Northern,Mbarara,None,Male,48,5,0,Livestock,Boda Boda,Coffee,0.5,5.5,Borehole,No,2.8,9,93,6,29,697143,316607,730772,57,None,None
570,Eastern,Mbale,None,Female,71,6,0,Salaried Employment,Construction,Beans,0.5,1.0,Borehole,No,4.3,4,88,5,31,956646,203720,1427133,44,None,None
571,Western,Gulu,Primary,Male,63,6,1,Fishing,Livestock,Maize,0.5,1.8,Borehole,Yes,2.1,0,36,4,34,92297,331628,443764,40,Flood,Cash
572,Eastern,Mbale,Secondary,Male,44,8,3,Charcoal Burning,Casual Labor,Coffee,0.5,4.7,Borehole,Yes,2.2,1,100,11,7,202300,139421,181298,58,Flood,Cash
573,Central,Mbarara,Primary,Male,66,4,1,Fishing,Salaried Employment,Coffee,0.5,2.0,Rain,Yes,5.1,4,61,2,33,253690,65223,844500,36,Price Rise,Food
574,Northern,Mbarara,Secondary,Female,66,10,1,Construction,Boda Boda,Maize,0.5,3.1,Rain,No,3.7,7,36,9,0,784327,280012,228908,64,None,None
575,Eastern,Gulu,None,Male,66,6,4,Construction,Construction,Beans,0.5,4.8,Borehole,No,4.4,0,37,3,9,411654,260090,690626,45,Flood,None
576,Central,Kampala,None,Male,19,7,4,Construction,Small Business,Maize,0.5,4.7,Borehole,No,7.0,4,29,5,27,701831,461050,241494,71,None,Food
577,Northern,Gulu,Secondary,Male,71,2,1,Charcoal Burning,Casual Labor,Maize,0.5,1.0,Borehole,No,7.1,6,70,4,21,762079,411995,605255,48,Flood,Food
578,Central,Mbarara,Primary,Female,39,2,1,Small Business,Small Business,Beans,0.5,5.8,Borehole,No,7.8,1,29,12,27,849597,85672,100167,76,Price Rise,Food
579,Northern,Mbarara,University,Male,23,5,3,Fishing,Livestock,Coffee,0.5,2.3,Rain,No,6.0,9,51,5,22,808131,101487,245898,50,None,Cash
580,Northern,Mbale,None,Female,59,5,1,Salaried Employment,Construction,Maize,0.5,4.5,Borehole,No,6.7,10,101,5,17,226765,115327,1030734,53,Flood,Cash
581,Northern,Gulu,University,Male,30,2,3,Livestock,Commercial Farming,Coffee,0.5,2.7,Rain,No,2.2,8,88,11,4,20529,226155,296654,54,Price Rise,None
582,Central,Mbale,Secondary,Female,36,10,0,Charcoal Burning,Construction,Maize,0.5,4.0,Borehole,No,4.5,3,37,4,32,671705,15018,606457,68,Drought,Food
583,Northern,Gulu,University,Male,43,7,0,Subsistence Farming,Casual Labor,Maize,2.93,0.9,Borehole,No,1.2,6,64,3,8,212373,59666,450075,59,Flood,Cash
584,Central,Kampala,University,Male,32,2,1,Boda Boda,Subsistence Farming,Beans,0.5,2.3,Borehole,No,7.4,0,29,6,33,719225,431424,394415,50,Flood,Food
585,Northern,Kampala,Secondary,Male,27,9,4,Boda Boda,Fishing,Maize,0.5,2.3,Rain,Yes,2.7,5,78,11,13,604297,434636,710979,42,Price Rise,Food
586,Central,Gulu,Secondary,Male,61,8,2,Casual Labor,Salaried Employment,Maize,0.5,5.9,Rain,Yes,2.5,9,61,3,9,89437,175533,620699,66,Flood,None
587,Central,Mbarara,Secondary,Female,52,7,4,Casual Labor,Charcoal Burning,Coffee,0.5,0.4,Rain,No,3.8,9,28,7,13,629064,450627,409407,57,Flood,Food
588,Central,Gulu,Primary,Male,73,2,2,Salaried Employment,Salaried Employment,Beans,0.5,4.2,Rain,No,1.8,1,46,7,9,475090,140812,3140613,71,Drought,None
589,Eastern,Mbale,University,Male,70,3,2,Subsistence Farming,Casual Labor,Maize,1.18,1.4,Rain,No,1.1,2,80,12,17,330379,109454,106677,74,Price Rise,Cash
590,Eastern,Mbale,Secondary,Female,32,7,1,Fishing,Commercial Farming,Maize,0.5,0.8,Rain,No,4.9,5,26,3,5,590722,448773,598366,53,Drought,Cash
591,Central,Gulu,University,Female,39,9,0,Livestock,Salaried Employment,Beans,0.5,3.9,Rain,Yes,3.7,6,34,2,1,428831,16440,574273,78,None,Food
592,Northern,Gulu,University,Female,52,2,3,Boda Boda,Fishing,Maize,0.5,0.9,Borehole,Yes,6.4,8,99,11,29,117508,65410,798177,64,Flood,None
593,Central,Gulu,Primary,Male,57,4,2,Casual Labor,Subsistence Farming,Beans,0.5,4.7,Borehole,Yes,6.2,5,66,6,7,292227,421522,417115,35,Price Rise,Cash
594,Central,Mbale,Secondary,Female,20,3,4,Boda Boda,Construction,Beans,0.5,4.3,Borehole,Yes,0.1,10,28,9,34,992468,292981,459990,83,Price Rise,None
595,Eastern,Mbale,Primary,Male,41,6,2,Construction,Casual Labor,Maize,0.5,1.0,Rain,No,7.5,8,108,3,24,95878,420722,325813,66,Flood,Cash
596,Western,Mbale,Secondary,Male,24,3,1,Subsistence Farming,Salaried Employment,Maize,6.34,5.1,Rain,No,2.7,8,55,6,5,818568,364011,303468,74,Price Rise,Food
597,Eastern,Kampala,Secondary,Female,43,9,2,Salaried Employment,Boda Boda,Beans,0.5,3.7,Borehole,No,1.2,4,52,8,3,411893,302056,2168182,35,Drought,Food
598,Northern,Mbale,Primary,Male,43,6,2,Small Business,Charcoal Burning,Beans,0.5,5.4,Rain,No,3.4,8,41,9,8,511629,317177,585432,52,None,Cash
599,Northern,Mbale,Secondary,Male,38,9,0,Charcoal Burning,Charcoal Burning,Beans,0.5,5.6,Rain,No,5.9,5,45,4,29,735866,241617,478904,82,None,Food
600,Western,Mbarara,None,Female,19,6,3,Commercial Farming,Commercial Farming,Maize,4.99,3.7,Rain,Yes,4.0,5,51,4,28,515170,257303,2811238,63,Flood,None
601,Northern,Kampala,None,Male,23,10,2,Construction,Boda Boda,Coffee,0.5,1.7,Rain,Yes,4.3,5,53,9,16,525701,444041,837581,65,Flood,Food
602,Central,Mbarara,Secondary,Male,19,6,2,Subsistence Farming,Casual Labor,Beans,0.97,1.7,Borehole,Yes,3.0,9,104,5,14,42732,38429,546757,65,None,None
603,Eastern,Gulu,Primary,Female,38,5,4,Subsistence Farming,Construction,Maize,5.99,3.5,Rain,No,3.7,7,75,10,22,926796,481790,256875,58,Price Rise,Cash
604,Western,Kampala,University,Female,45,8,4,Construction,Salaried Employment,Maize,0.5,2.1,Borehole,Yes,5.7,0,29,3,28,386765,483225,707842,41,Price Rise,Cash
605,Northern,Mbale,University,Female,43,6,1,Casual Labor,Casual Labor,Maize,0.5,0.4,Rain,Yes,3.7,3,93,7,20,96388,359123,596979,43,Price Rise,None
606,Eastern,Kampala,Primary,Male,72,4,4,Livestock,Subsistence Farming,Maize,0.5,2.2,Borehole,No,0.0,9,67,2,31,138139,171491,853732,50,Drought,Food
607,Northern,Gulu,Secondary,Male,35,10,3,Charcoal Burning,Livestock,Beans,0.5,4.4,Rain,Yes,7.5,4,22,7,27,156651,71156,677849,74,None,Cash
608,Central,Gulu,Primary,Male,35,7,1,Commercial Farming,Fishing,Beans,5.7,4.4,Rain,Yes,3.2,8,53,2,23,449374,56066,2720786,57,Price Rise,Food
609,Western,Gulu,None,Male,27,6,3,Charcoal Burning,Construction,Maize,0.5,4.8,Borehole,No,4.7,6,79,4,12,390916,395849,411191,39,None,None
610,Central,Mbale,None,Male,59,8,4,Salaried Employment,Boda Boda,Coffee,0.5,0.2,Rain,No,0.6,0,89,9,30,859647,457362,896071,44,Flood,Food
611,Western,Mbale,Secondary,Male,26,6,0,Fishing,Charcoal Burning,Beans,0.5,2.4,Borehole,Yes,5.4,9,84,10,18,95694,263035,290115,42,Flood,Food
612,Northern,Mbarara,Secondary,Male,48,7,1,Small Business,Casual Labor,Maize,0.5,4.0,Rain,No,1.4,9,59,9,33,860604,498173,777352,68,Flood,None
613,Western,Mbale,University,Female,26,5,3,Construction,Construction,Maize,0.5,1.7,Rain,No,6.9,8,90,8,34,246386,104708,406911,47,Drought,Food
614,Northern,Gulu,University,Female,63,8,3,Charcoal Burning,Charcoal Burning,Coffee,0.5,2.7,Borehole,No,4.0,3,97,2,15,867185,432915,698263,62,Flood,None
615,Western,Gulu,None,Male,36,5,0,Charcoal Burning,Boda Boda,Beans,0.5,0.7,Borehole,Yes,7.5,4,109,6,6,724892,361817,181434,62,None,Cash
616,Northern,Mbale,Secondary,Male,32,2,1,Livestock,Construction,Coffee,0.5,1.9,Rain,No,2.9,0,57,11,10,501982,178397,770696,39,None,Food
617,Northern,Kampala,None,Female,47,3,4,Construction,Fishing,Beans,0.5,3.4,Borehole,No,6.3,2,34,2,13,853791,430851,179822,40,Price Rise,Cash
618,Central,Gulu,University,Male,20,7,0,Construction,Fishing,Coffee,0.5,4.3,Rain,No,4.5,2,34,9,9,654744,159884,877856,55,None,None
619,Northern,Kampala,None,Female,63,4,4,Casual Labor,Casual Labor,Coffee,0.5,3.9,Rain,No,5.3,7,38,7,34,464623,363246,245552,68,Drought,None
620,Eastern,Mbale,Primary,Female,70,9,3,Fishing,Salaried Employment,Beans,0.5,5.4,Borehole,Yes,2.7,0,36,10,32,301586,316741,268636,42,Flood,Cash
621,Central,Mbarara,University,Male,59,8,4,Construction,Livestock,Beans,0.5,4.5,Borehole,Yes,5.0,5,43,4,3,858311,174404,541008,49,Drought,None
622,Western,Gulu,None,Female,39,8,2,Commercial Farming,Fishing,Coffee,2.14,4.6,Rain,No,3.6,7,44,5,19,167424,159691,2398801,77,Drought,Cash
623,Central,Mbale,University,Female,58,10,3,Subsistence Farming,Salaried Employment,Beans,2.91,2.2,Rain,Yes,1.9,6,48,6,0,68632,458776,220606,41,Flood,None
624,Eastern,Mbarara,Secondary,Female,62,5,3,Construction,Livestock,Maize,0.5,0.5,Borehole,Yes,0.2,0,102,9,34,210345,144834,783423,65,Drought,Cash
625,Central,Kampala,None,Male,47,10,3,Salaried Employment,Livestock,Maize,0.5,4.6,Borehole,Yes,0.2,9,101,7,11,625805,365675,1827959,61,None,Food
626,Northern,Mbarara,Primary,Female,24,2,4,Livestock,Boda Boda,Beans,0.5,4.3,Rain,No,6.9,0,37,3,6,506147,49526,679787,41,Price Rise,Cash
627,Northern,Mbale,None,Female,19,4,3,Construction,Commercial Farming,Maize,0.5,5.5,Rain,No,5.8,1,28,3,11,966493,115586,443504,55,Price Rise,None
628,Western,Mbale,None,Male,63,8,1,Fishing,Fishing,Maize,0.5,4.3,Borehole,Yes,4.2,10,49,7,21,438552,404508,153695,38,Flood,None
629,Eastern,Kampala,None,Female,21,6,0,Construction,Construction,Beans,0.5,4.0,Rain,No,2.0,8,55,10,2,689009,477919,161717,41,None,Food
630,Northern,Mbale,University,Male,25,9,3,Boda Boda,Livestock,Maize,0.5,3.2,Rain,Yes,6.7,9,43,6,17,143247,303860,238150,53,Drought,Cash
631,Eastern,Mbale,None,Female,52,5,0,Small Business,Subsistence Farming,Maize,0.5,4.2,Borehole,Yes,1.1,2,52,11,30,885730,420414,733825,51,Price Rise,None
632,Central,Mbarara,University,Female,35,5,1,Casual Labor,Casual Labor,Beans,0.5,1.9,Borehole,No,0.4,10,108,8,26,62592,17837,647264,67,Price Rise,Cash
633,Northern,Kampala,None,Male,70,9,3,Boda Boda,Salaried Employment,Beans,0.5,5.6,Rain,Yes,4.9,7,81,9,9,97975,237877,861585,49,Price Rise,None
634,Eastern,Gulu,Secondary,Male,70,10,3,Salaried Employment,Casual Labor,Maize,0.5,3.7,Rain,No,4.4,3,94,9,8,53197,192940,2625528,44,None,Cash
635,Western,Mbale,None,Male,29,6,4,Construction,Commercial Farming,Maize,0.5,0.7,Borehole,No,7.5,0,76,5,0,167471,340515,204575,82,None,Cash
636,Central,Kampala,University,Female,19,5,1,Charcoal Burning,Livestock,Maize,0.5,3.1,Borehole,Yes,8.0,10,37,11,32,794832,101849,161703,64,None,Cash
637,Eastern,Kampala,Primary,Male,23,9,0,Subsistence Farming,Commercial Farming,Beans,2.03,2.6,Borehole,No,5.5,2,75,12,12,51720,7284,588994,43,Flood,None
638,Eastern,Mbarara,None,Female,34,4,3,Commercial Farming,Small Business,Beans,1.74,2.9,Borehole,Yes,7.7,9,21,9,31,61722,366796,2061242,66,Price Rise,Food
639,Eastern,Mbarara,None,Male,57,5,2,Commercial Farming,Fishing,Beans,0.8,3.9,Borehole,No,1.3,3,37,6,2,94065,130009,2743193,54,Price Rise,Food
640,Western,Kampala,University,Female,58,3,0,Small Business,Livestock,Coffee,0.5,5.3,Rain,No,4.1,8,87,11,28,180752,281551,257427,56,Drought,Cash
641,Eastern,Gulu,None,Male,30,6,1,Salaried Employment,Salaried Employment,Coffee,0.5,1.4,Rain,No,4.6,0,71,8,18,913282,381183,3874301,36,Price Rise,Cash
642,Northern,Mbale,University,Female,59,6,3,Casual Labor,Casual Labor,Coffee,0.5,5.2,Rain,No,1.3,0,48,3,8,109642,337533,791337,50,Drought,None
643,Central,Gulu,Secondary,Female,53,8,1,Commercial Farming,Boda Boda,Coffee,1.8,1.4,Rain,No,3.1,9,111,5,26,827746,344506,2751751,76,None,None
644,Eastern,Kampala,None,Male,55,3,0,Charcoal Burning,Small Business,Coffee,0.5,3.0,Rain,No,5.2,9,89,9,28,335962,189477,281258,74,None,Cash
645,Northern,Mbarara,None,Female,59,6,2,Fishing,Salaried Employment,Beans,0.5,1.9,Borehole,No,4.7,2,56,10,20,124486,491272,506980,79,Drought,None
646,Northern,Mbale,University,Female,52,9,1,Fishing,Fishing,Beans,0.5,2.6,Rain,No,3.9,6,87,11,13,917916,475517,460933,49,None,None
647,Western,Gulu,University,Female,70,9,1,Small Business,Livestock,Coffee,0.5,3.4,Borehole,No,6.3,5,32,11,2,238282,179261,409782,51,None,Cash
648,Eastern,Kampala,None,Male,21,10,3,Construction,Commercial Farming,Maize,0.5,6.0,Rain,Yes,2.8,5,66,2,26,845467,35057,526877,82,Flood,Cash
649,Northern,Gulu,None,Female,66,4,0,Subsistence Farming,Boda Boda,Beans,6.12,4.9,Borehole,No,0.6,0,55,10,23,246437,278391,421862,36,None,Cash
650,Northern,Kampala,Secondary,Female,64,9,2,Fishing,Construction,Coffee,0.5,2.9,Borehole,Yes,0.4,0,60,11,34,727016,261449,440760,65,Price Rise,Cash
651,Northern,Gulu,University,Male,19,7,4,Subsistence Farming,Subsistence Farming,Coffee,6.49,2.6,Borehole,No,6.8,0,49,7,28,356181,222066,559362,60,Price Rise,Food
652,Western,Mbarara,University,Male,23,7,2,Salaried Employment,Fishing,Maize,0.5,4.8,Rain,Yes,1.3,0,78,12,8,987414,1325,3400359,59,Drought,None
653,Eastern,Gulu,University,Male,40,6,0,Salaried Employment,Charcoal Burning,Maize,0.5,3.3,Rain,No,1.4,8,24,4,2,846024,166351,3417235,40,None,Cash
654,Central,Gulu,University,Male,44,8,3,Charcoal Burning,Construction,Maize,0.5,1.2,Borehole,No,1.7,6,59,4,20,796474,397742,497358,74,Flood,None
