ID,Case_ID,Region,Settlement,District,Country_Origin,Arrival_Year,Years_In_Uganda,Gender_HH_Head,Age_HH_Head,Education,Household_Size,Children_U18,Vulnerability,Water_Source,Irrigation,Crop,Yield,Assistance_Type,Protection_Concern,Income_UGX_Month
501,UNHCR-UG-10161,West Nile,Lobule,Arua,Eritrea,2021,2,Male,44,Secondary,9,2,Elderly,Borehole,No,Beans,0.66,WASH,Child Protection,56174
502,UNHCR-UG-10162,West Nile,Rhino Camp,Arua,Ethiopia,2020,5,Female,72,Primary,6,2,Elderly,Borehole,Yes,Vegetables,0.97,NFI,None,264696
503,UNHCR-UG-10163,West Nile,Imvepi,Arua,Ethiopia,2025,7,Female,52,Secondary,10,2,Single Parent,Borehole,Yes,Beans,2.58,Cash,None,333379
504,UNHCR-UG-10164,Central,Kampala Urban,Arua,Ethiopia,2022,9,Male,29,None,9,2,None,Tap,Yes,None,3.43,Cash,None,490610
505,UNHCR-UG-10165,Mid West,Kiryandongo,Arua,Eritrea,2017,8,Female,43,University,5,0,Woman at Risk,Borehole,No,Beans,2.86,Food,Child Protection,240237
506,UNHCR-UG-10166,South West,Kyangwali,Arua,Ethiopia,2019,2,Male,18,Primary,9,1,None,River,No,Beans,0.32,Food,None,426093
507,UNHCR-UG-10167,West Nile,Palorinya,Arua,Eritrea,2018,2,Female,21,University,3,4,Disability,Tap,Yes,None,2.19,WASH,GBV Risk,356204
508,UNHCR-UG-10168,South West,Rwamwanja,Arua,Ethiopia,2017,3,Female,64,University,4,4,None,Borehole,No,Vegetables,3.28,Food,None,120313
509,UNHCR-UG-10169,Central,Kampala Urban,Arua,Ethiopia,2024,10,Male,75,None,1,2,Single Parent,Tap,No,Vegetables,0.73,NFI,Child Protection,276811
510,UNHCR-UG-10170,Mid West,Kiryandongo,Arua,Sudan,2023,2,Male,41,Secondary,1,2,Single Parent,Tap,No,Vegetables,3.44,WASH,Food Insecurity,461763
511,UNHCR-UG-10171,South West,Rwamwanja,Arua,Eritrea,2021,6,Female,47,Primary,4,1,Elderly,Tap,Yes,None,2.47,WASH,GBV Risk,76827
512,UNHCR-UG-10172,Mid West,Kiryandongo,Arua,Rwanda,2024,9,Male,52,None,2,4,Unaccompanied Child,Tap,Yes,Vegetables,2.36,NFI,Food Insecurity,342646
513,UNHCR-UG-10173,Mid West,Kiryandongo,Arua,South Sudan,2025,9,Female,52,None,8,0,Single Parent,Borehole,Yes,Vegetables,1.52,Food,Child Protection,326743
514,UNHCR-UG-10174,West Nile,Bidi Bidi,Yumbe,Sudan,2019,2,Male,29,Primary,6,1,Elderly,Borehole,No,Beans,2.45,Cash,None,21409
515,UNHCR-UG-10175,Mid West,Kiryandongo,Arua,Ethiopia,2016,10,Male,64,None,10,3,Single Parent,Borehole,No,Vegetables,2.44,Cash,GBV Risk,23670
516,UNHCR-UG-10176,West Nile,Bidi Bidi,Yumbe,Burundi,2025,7,Male,75,University,7,3,Single Parent,River,Yes,Maize,2.79,Food,Food Insecurity,46161
517,UNHCR-UG-10177,Central,Kampala Urban,Arua,Rwanda,2021,3,Male,57,University,1,1,None,Tap,No,Beans,2.86,NFI,Food Insecurity,387176
518,UNHCR-UG-10178,Central,Kampala Urban,Arua,Ethiopia,2022,3,Male,40,Secondary,10,2,None,Tap,Yes,Cassava,2.53,Food,GBV Risk,241900
519,UNHCR-UG-10179,Mid West,Kiryandongo,Arua,DRC,2016,9,Male,20,University,1,2,Woman at Risk,Borehole,No,Maize,1.94,NFI,Child Protection,415963
520,UNHCR-UG-10180,West Nile,Lobule,Arua,DRC,2024,2,Female,47,Primary,1,1,Unaccompanied Child,River,No,Maize,2.46,NFI,Food Insecurity,301856
521,UNHCR-UG-10181,West Nile,Imvepi,Arua,Ethiopia,2016,8,Male,38,Primary,1,0,Woman at Risk,Borehole,No,Beans,0.55,WASH,Child Protection,347957
522,UNHCR-UG-10182,South West,Oruchinga,Arua,Ethiopia,2024,9,Male,48,University,10,4,Single Parent,River,No,Cassava,3.06,Food,GBV Risk,186696
523,UNHCR-UG-10183,South West,Oruchinga,Arua,Eritrea,2019,8,Female,52,University,8,4,Woman at Risk,Borehole,No,Cassava,3.25,NFI,Food Insecurity,410681
524,UNHCR-UG-10184,Mid West,Kiryandongo,Arua,Ethiopia,2019,5,Male,58,Secondary,10,1,Unaccompanied Child,Borehole,No,Beans,0.39,NFI,GBV Risk,228046
525,UNHCR-UG-10185,Mid West,Kiryandongo,Arua,South Sudan,2019,7,Male,47,Secondary,5,3,None,Borehole,Yes,Cassava,2.68,Cash,Food Insecurity,235078
526,UNHCR-UG-10186,Mid West,Kiryandongo,Arua,Somalia,2017,3,Female,36,University,5,0,Elderly,River,No,Vegetables,2.9,WASH,None,414386
527,UNHCR-UG-10187,Central,Kampala Urban,Arua,Burundi,2025,2,Female,65,Primary,8,4,Elderly,River,Yes,None,1.52,WASH,GBV Risk,155408
528,UNHCR-UG-10188,South West,Kyangwali,Arua,South Sudan,2016,5,Male,43,Primary,4,0,Disability,Tap,Yes,Cassava,1.03,NFI,None,295742
529,UNHCR-UG-10189,Mid West,Kiryandongo,Arua,South Sudan,2023,2,Male,66,None,8,2,None,River,No,Vegetables,0.65,Cash,Child Protection,392388
530,UNHCR-UG-10190,South West,Rwamwanja,Arua,Burundi,2017,7,Female,62,Secondary,9,4,Unaccompanied Child,Borehole,Yes,Maize,1.34,Food,Food Insecurity,140856
531,UNHCR-UG-10191,West Nile,Rhino Camp,Arua,Sudan,2019,3,Female,45,Primary,6,0,Disability,Borehole,Yes,Beans,1.64,NFI,None,62450
532,UNHCR-UG-10192,Mid West,Kiryandongo,Arua,Ethiopia,2020,10,Male,22,University,4,1,Woman at Risk,River,Yes,Cassava,1.13,WASH,Food Insecurity,311468
533,UNHCR-UG-10193,South West,Kyaka II,Arua,Ethiopia,2019,7,Female,18,None,8,3,Disability,Borehole,Yes,Vegetables,0.96,WASH,Child Protection,27393
534,UNHCR-UG-10194,South West,Kyaka II,Arua,Burundi,2022,9,Male,34,None,9,4,None,Tap,No,Cassava,0.83,WASH,Food Insecurity,236062
535,UNHCR-UG-10195,West Nile,Rhino Camp,Arua,Sudan,2017,1,Female,46,University,8,1,Single Parent,River,Yes,Cassava,2.33,NFI,Child Protection,142437
536,UNHCR-UG-10196,West Nile,Bidi Bidi,Yumbe,South Sudan,2018,4,Male,34,Secondary,10,3,Elderly,Borehole,Yes,Cassava,2.46,WASH,Food Insecurity,148566
537,UNHCR-UG-10197,Central,Kampala Urban,Arua,South Sudan,2024,2,Male,55,None,10,4,Woman at Risk,River,Yes,Beans,0.34,WASH,Food Insecurity,233391
538,UNHCR-UG-10198,South West,Kyaka II,Arua,Ethiopia,2025,6,Male,77,None,2,3,Single Parent,River,Yes,None,0.75,Cash,Food Insecurity,61541
539,UNHCR-UG-10199,West Nile,Palorinya,Arua,Somalia,2019,5,Male,26,Primary,4,4,Single Parent,Tap,No,None,1.57,Food,Food Insecurity,441459
540,UNHCR-UG-10200,Central,Kampala Urban,Arua,Sudan,2023,8,Male,76,Primary,5,3,None,River,Yes,Vegetables,1.2,Cash,GBV Risk,324249
541,UNHCR-UG-10201,South West,Oruchinga,Arua,DRC,2017,2,Male,66,University,6,0,Elderly,River,Yes,Maize,2.66,Cash,Child Protection,333489
542,UNHCR-UG-10202,Mid West,Kiryandongo,Arua,Burundi,2018,5,Male,60,Secondary,5,1,Unaccompanied Child,Borehole,Yes,Cassava,2.34,Food,Child Protection,414863
543,UNHCR-UG-10203,Central,Kampala Urban,Arua,Ethiopia,2022,10,Male,60,Primary,8,2,Disability,River,Yes,Vegetables,0.42,Food,Child Protection,344419
544,UNHCR-UG-10204,South West,Kyangwali,Arua,Rwanda,2018,6,Male,48,University,10,2,Single Parent,Borehole,No,Cassava,0.33,Food,None,479047
545,UNHCR-UG-10205,South West,Oruchinga,Arua,Ethiopia,2024,10,Male,23,Primary,7,1,Unaccompanied Child,Borehole,Yes,Beans,0.93,Food,Food Insecurity,150311
546,UNHCR-UG-10206,South West,Rwamwanja,Arua,Eritrea,2016,4,Male,20,None,2,4,Woman at Risk,River,Yes,Beans,2.51,Cash,Food Insecurity,17298
547,UNHCR-UG-10207,Mid West,Kiryandongo,Arua,Burundi,2016,8,Female,58,None,8,2,Elderly,Borehole,No,Maize,3.03,NFI,GBV Risk,294697
548,UNHCR-UG-10208,South West,Rwamwanja,Arua,Ethiopia,2019,7,Female,70,University,3,3,Elderly,Borehole,No,None,3.0,Cash,GBV Risk,355535
549,UNHCR-UG-10209,Central,Kampala Urban,Arua,Ethiopia,2025,8,Male,32,University,4,4,Single Parent,Borehole,Yes,Maize,1.81,Cash,None,354909
550,UNHCR-UG-10210,South West,Oruchinga,Arua,South Sudan,2021,10,Female,26,Secondary,5,2,Single Parent,River,Yes,Cassava,2.54,Food,None,329790
551,UNHCR-UG-10211,Central,Kampala Urban,Arua,Somalia,2021,9,Female,76,Secondary,10,1,Woman at Risk,River,Yes,Vegetables,3.13,NFI,None,184954
552,UNHCR-UG-10212,Mid West,Kiryandongo,Arua,Eritrea,2017,6,Female,65,Secondary,7,2,Woman at Risk,Tap,No,None,1.82,Cash,None,301744
553,UNHCR-UG-10213,Central,Kampala Urban,Arua,Ethiopia,2022,9,Male,42,None,4,2,Elderly,Borehole,No,Vegetables,3.35,Cash,Child Protection,172544
554,UNHCR-UG-10214,West Nile,Imvepi,Arua,Ethiopia,2019,9,Male,25,None,5,1,Unaccompanied Child,Borehole,No,Beans,3.47,Cash,None,193915
555,UNHCR-UG-10215,Mid West,Kiryandongo,Arua,Rwanda,2016,2,Male,68,Secondary,9,0,Elderly,Borehole,Yes,Vegetables,0.29,Food,Child Protection,190014
556,UNHCR-UG-10216,West Nile,Palorinya,Arua,DRC,2018,8,Female,38,None,7,2,Disability,River,Yes,Vegetables,3.31,NFI,GBV Risk,462248
557,UNHCR-UG-10217,West Nile,Lobule,Arua,Sudan,2017,6,Female,68,Primary,7,3,None,River,No,Vegetables,0.13,WASH,Child Protection,404260
558,UNHCR-UG-10218,South West,Oruchinga,Arua,Sudan,2019,2,Female,74,Primary,1,4,None,Tap,No,Cassava,1.28,Food,None,40307
559,UNHCR-UG-10219,West Nile,Rhino Camp,Arua,Burundi,2022,9,Female,24,None,9,3,None,Tap,Yes,Maize,1.28,Food,None,166560
560,UNHCR-UG-10220,West Nile,Bidi Bidi,Yumbe,Burundi,2017,5,Female,56,University,6,0,Woman at Risk,River,Yes,Vegetables,2.16,WASH,GBV Risk,278603
561,UNHCR-UG-10221,South West,Rwamwanja,Arua,Somalia,2021,9,Female,45,Secondary,3,2,None,River,No,Cassava,0.12,Food,Food Insecurity,381437
562,UNHCR-UG-10222,Central,Kampala Urban,Arua,Rwanda,2018,3,Female,34,Secondary,3,3,Woman at Risk,Tap,Yes,Cassava,2.76,Cash,Child Protection,158801
563,UNHCR-UG-10223,Mid West,Kiryandongo,Arua,Sudan,2018,5,Female,73,Secondary,5,3,Disability,Borehole,Yes,None,2.41,NFI,GBV Risk,250422
564,UNHCR-UG-10224,Central,Kampala Urban,Arua,Somalia,2025,7,Male,25,University,1,0,Unaccompanied Child,Tap,No,Maize,2.23,NFI,GBV Risk,269024
565,UNHCR-UG-10225,South West,Rwamwanja,Arua,Somalia,2017,5,Female,30,Secondary,8,0,Woman at Risk,Borehole,No,Maize,1.09,WASH,None,158027
566,UNHCR-UG-10226,South West,Nakivale,Arua,DRC,2019,1,Male,25,Primary,6,2,Disability,Tap,No,None,0.79,Cash,Child Protection,193083
567,UNHCR-UG-10227,West Nile,Imvepi,Arua,DRC,2017,3,Male,45,University,1,2,None,River,Yes,None,2.49,Food,GBV Risk,115504
568,UNHCR-UG-10228,Mid West,Kiryandongo,Arua,Sudan,2022,3,Male,61,Primary,6,4,Unaccompanied Child,Tap,No,Vegetables,1.63,WASH,None,479307
569,UNHCR-UG-10229,Mid West,Kiryandongo,Arua,Burundi,2024,5,Female,73,University,3,2,Woman at Risk,Tap,No,Vegetables,2.1,Food,Food Insecurity,5970
570,UNHCR-UG-10230,West Nile,Imvepi,Arua,DRC,2019,4,Female,31,University,2,3,None,Borehole,No,Beans,2.44,NFI,Child Protection,399389
571,UNHCR-UG-10231,South West,Kyaka II,Arua,South Sudan,2021,6,Female,69,University,2,2,Unaccompanied Child,River,No,Vegetables,1.5,WASH,Child Protection,265169
572,UNHCR-UG-10232,West Nile,Imvepi,Arua,South Sudan,2024,6,Male,57,None,9,1,Single Parent,River,No,None,1.31,NFI,Child Protection,478793
573,UNHCR-UG-10233,South West,Oruchinga,Arua,Sudan,2022,4,Male,67,Primary,2,1,Unaccompanied Child,River,No,Cassava,2.57,Cash,GBV Risk,292448
574,UNHCR-UG-10234,Central,Kampala Urban,Arua,DRC,2016,1,Male,31,University,8,3,Woman at Risk,River,Yes,Maize,1.36,NFI,None,112470
575,UNHCR-UG-10235,Mid West,Kiryandongo,Arua,Burundi,2020,2,Female,43,None,3,4,None,Borehole,No,Maize,1.98,WASH,GBV Risk,66683
576,UNHCR-UG-10236,Mid West,Kiryandongo,Arua,Somalia,2016,6,Male,70,Secondary,7,1,None,River,No,Beans,2.51,Cash,Food Insecurity,245007
577,UNHCR-UG-10237,Central,Kampala Urban,Arua,Burundi,2021,1,Male,39,University,6,4,Single Parent,River,No,Vegetables,2.61,NFI,Child Protection,58180
578,UNHCR-UG-10238,Mid West,Kiryandongo,Arua,Burundi,2023,3,Male,74,University,10,3,None,River,No,Cassava,0.67,Cash,Food Insecurity,117650
579,UNHCR-UG-10239,Mid West,Kiryandongo,Arua,Eritrea,2022,3,Female,32,Primary,1,1,Elderly,Tap,Yes,Maize,1.9,Food,None,351140
580,UNHCR-UG-10240,Mid West,Kiryandongo,Arua,Ethiopia,2022,2,Male,29,Primary,1,4,Unaccompanied Child,River,Yes,Maize,0.85,Food,GBV Risk,445210
581,UNHCR-UG-10241,Mid West,Kiryandongo,Arua,Somalia,2019,3,Female,43,Secondary,10,4,Disability,River,Yes,Maize,1.22,NFI,GBV Risk,57879
582,UNHCR-UG-10242,South West,Nakivale,Arua,South Sudan,2019,8,Female,42,Primary,8,1,Unaccompanied Child,River,Yes,Cassava,2.64,NFI,Food Insecurity,391771
583,UNHCR-UG-10243,Mid West,Kiryandongo,Arua,Somalia,2018,8,Female,18,University,7,0,Unaccompanied Child,Tap,No,Cassava,1.96,WASH,Child Protection,17348
584,UNHCR-UG-10244,South West,Kyaka II,Arua,Ethiopia,2022,4,Male,50,University,7,3,Unaccompanied Child,Borehole,Yes,Maize,0.23,NFI,Child Protection,449272
585,UNHCR-UG-10245,Mid West,Kiryandongo,Arua,South Sudan,2020,7,Female,71,None,7,2,Unaccompanied Child,River,Yes,Cassava,2.71,NFI,Food Insecurity,296884
586,UNHCR-UG-10246,Mid West,Kiryandongo,Arua,DRC,2016,3,Female,21,University,6,0,Woman at Risk,River,No,None,3.41,Food,None,276475
587,UNHCR-UG-10247,Mid West,Kiryandongo,Arua,Eritrea,2024,10,Male,30,Secondary,8,2,Elderly,River,No,Beans,0.54,WASH,Food Insecurity,248988
588,UNHCR-UG-10248,West Nile,Palorinya,Arua,Ethiopia,2017,10,Male,27,None,3,4,Disability,Tap,Yes,Vegetables,2.43,NFI,Food Insecurity,28849
589,UNHCR-UG-10249,Mid West,Kiryandongo,Arua,Somalia,2024,10,Female,57,University,4,3,Woman at Risk,Tap,No,None,1.6,WASH,Child Protection,428277
590,UNHCR-UG-10250,West Nile,Rhino Camp,Arua,Rwanda,2016,10,Male,58,University,3,1,Woman at Risk,River,Yes,None,3.03,Cash,GBV Risk,19343
591,UNHCR-UG-10251,Mid West,Kiryandongo,Arua,Sudan,2024,1,Female,36,Secondary,6,4,Single Parent,Tap,Yes,Maize,1.06,Food,GBV Risk,171946
592,UNHCR-UG-10252,Mid West,Kiryandongo,Arua,South Sudan,2016,2,Male,67,University,3,4,Single Parent,River,Yes,Maize,0.72,NFI,Food Insecurity,224330
593,UNHCR-UG-10253,South West,Kyaka II,Arua,Rwanda,2020,2,Female,29,University,4,0,Single Parent,Borehole,No,None,0.33,Cash,None,212842
594,UNHCR-UG-10254,Mid West,Kiryandongo,Arua,Rwanda,2019,1,Male,20,None,1,2,Disability,Borehole,Yes,Vegetables,0.72,Cash,GBV Risk,65090
595,UNHCR-UG-10255,West Nile,Bidi Bidi,Yumbe,Rwanda,2025,2,Male,65,Primary,10,1,Disability,Tap,Yes,Beans,1.18,Food,None,120451
596,UNHCR-UG-10256,Mid West,Kiryandongo,Arua,Sudan,2020,2,Male,20,Primary,2,3,None,Tap,Yes,Maize,2.34,NFI,None,478955
597,UNHCR-UG-10257,South West,Kyaka II,Arua,Rwanda,2016,3,Male,43,Primary,5,2,Disability,River,Yes,Beans,0.25,Cash,None,194109
598,UNHCR-UG-10258,Central,Kampala Urban,Arua,Burundi,2025,5,Female,57,University,1,0,None,Borehole,No,Cassava,1.4,NFI,None,400535
599,UNHCR-UG-10259,Mid West,Kiryandongo,Arua,South Sudan,2016,10,Male,64,Secondary,3,0,Single Parent,Tap,No,Vegetables,1.07,WASH,Food Insecurity,8992
600,UNHCR-UG-10260,West Nile,Palorinya,Arua,Eritrea,2022,8,Male,77,Primary,8,2,Disability,Tap,No,Beans,0.59,NFI,None,394968
601,UNHCR-UG-10261,West Nile,Lobule,Arua,Ethiopia,2017,3,Male,42,None,9,2,None,Borehole,Yes,Beans,2.67,Food,Child Protection,56065
602,UNHCR-UG-10262,West Nile,Palorinya,Arua,Ethiopia,2022,4,Female,59,University,6,2,Disability,Tap,Yes,Beans,0.95,NFI,Child Protection,67042
603,UNHCR-UG-10263,Central,Kampala Urban,Arua,Sudan,2021,7,Female,28,Secondary,7,0,Elderly,Tap,No,Vegetables,1.72,Food,Child Protection,368124
604,UNHCR-UG-10264,South West,Oruchinga,Arua,DRC,2017,2,Male,71,Secondary,5,2,Unaccompanied Child,River,No,Vegetables,3.23,WASH,None,374788
605,UNHCR-UG-10265,Mid West,Kiryandongo,Arua,Somalia,2017,5,Male,72,University,8,3,Disability,River,No,Vegetables,0.74,Cash,GBV Risk,82900
606,UNHCR-UG-10266,West Nile,Bidi Bidi,Yumbe,DRC,2020,2,Male,59,University,1,1,Unaccompanied Child,Borehole,Yes,None,3.1,WASH,Child Protection,236203
607,UNHCR-UG-10267,Mid West,Kiryandongo,Arua,South Sudan,2025,6,Female,57,None,10,4,Disability,Borehole,No,Cassava,2.59,WASH,Food Insecurity,101608
608,UNHCR-UG-10268,South West,Oruchinga,Arua,Eritrea,2023,8,Male,64,University,10,2,Woman at Risk,Tap,No,Cassava,1.39,Food,None,309060
609,UNHCR-UG-10269,South West,Rwamwanja,Arua,Ethiopia,2022,8,Female,76,Secondary,1,4,Disability,Borehole,No,Cassava,0.99,Cash,Food Insecurity,16115
610,UNHCR-UG-10270,West Nile,Palorinya,Arua,South Sudan,2025,6,Male,26,University,6,0,Elderly,Borehole,Yes,None,0.88,WASH,Food Insecurity,51829
611,UNHCR-UG-10271,South West,Rwamwanja,Arua,Eritrea,2023,8,Female,60,University,5,2,Woman at Risk,Borehole,No,None,2.37,WASH,Food Insecurity,355536
612,UNHCR-UG-10272,South West,Kyangwali,Arua,Eritrea,2021,1,Female,39,None,5,4,Unaccompanied Child,Borehole,Yes,Beans,0.43,NFI,Food Insecurity,251399
613,UNHCR-UG-10273,Mid West,Kiryandongo,Arua,Somalia,2017,5,Male,35,Secondary,2,3,Woman at Risk,River,No,Maize,1.81,NFI,Food Insecurity,327289
614,UNHCR-UG-10274,South West,Rwamwanja,Arua,Eritrea,2019,7,Male,36,University,9,3,Unaccompanied Child,River,Yes,None,2.32,NFI,GBV Risk,368344
615,UNHCR-UG-10275,Central,Kampala Urban,Arua,Ethiopia,2022,2,Female,42,University,3,4,Single Parent,Borehole,No,None,1.26,Food,GBV Risk,212904
616,UNHCR-UG-10276,Mid West,Kiryandongo,Arua,DRC,2020,4,Female,57,University,3,4,Single Parent,Tap,No,Vegetables,3.02,NFI,Child Protection,428933
617,UNHCR-UG-10277,West Nile,Rhino Camp,Arua,DRC,2022,4,Female,54,None,10,3,Woman at Risk,River,No,Cassava,0.19,NFI,GBV Risk,415189
618,UNHCR-UG-10278,Mid West,Kiryandongo,Arua,Eritrea,2022,5,Female,75,Primary,9,2,Disability,River,No,Maize,1.59,Food,GBV Risk,123459
619,UNHCR-UG-10279,Mid West,Kiryandongo,Arua,Rwanda,2025,10,Male,21,Primary,9,2,None,Borehole,No,Cassava,0.85,NFI,None,460663
620,UNHCR-UG-10280,Central,Kampala Urban,Arua,Somalia,2020,7,Male,57,Secondary,4,2,None,Borehole,Yes,Vegetables,0.62,Food,Child Protection,303125
621,UNHCR-UG-10281,West Nile,Lobule,Arua,Sudan,2022,5,Female,70,None,4,0,Unaccompanied Child,Tap,Yes,None,1.59,Food,Child Protection,405313
622,UNHCR-UG-10282,West Nile,Palorinya,Arua,Rwanda,2019,6,Female,74,University,2,1,Single Parent,Tap,Yes,Cassava,1.22,NFI,GBV Risk,107377
623,UNHCR-UG-10283,Mid West,Kiryandongo,Arua,Ethiopia,2018,10,Female,57,University,3,4,Unaccompanied Child,Tap,Yes,Vegetables,3.0,Food,Child Protection,383997
624,UNHCR-UG-10284,Central,Kampala Urban,Arua,Ethiopia,2025,10,Female,71,Primary,8,2,Elderly,River,Yes,None,1.09,WASH,None,497292
625,UNHCR-UG-10285,South West,Kyaka II,Arua,Somalia,2018,5,Female,45,University,9,1,None,Tap,Yes,Beans,2.6,Food,Food Insecurity,260956
626,UNHCR-UG-10286,West Nile,Rhino Camp,Arua,Somalia,2017,7,Female,61,Secondary,8,2,Elderly,River,Yes,None,2.37,NFI,Food Insecurity,74040
627,UNHCR-UG-10287,South West,Oruchinga,Arua,Sudan,2018,8,Female,25,None,4,4,Single Parent,Borehole,Yes,Vegetables,1.78,Food,Child Protection,242304
628,UNHCR-UG-10288,West Nile,Lobule,Arua,Somalia,2016,6,Female,19,University,2,2,Woman at Risk,Tap,Yes,Vegetables,1.23,NFI,Food Insecurity,129912
629,UNHCR-UG-10289,South West,Kyangwali,Arua,Sudan,2022,8,Male,67,University,2,1,Single Parent,Borehole,Yes,None,3.1,Cash,None,470909
630,UNHCR-UG-10290,South West,Oruchinga,Arua,DRC,2016,4,Male,51,None,10,1,Woman at Risk,River,Yes,Cassava,0.31,Food,GBV Risk,92696
631,UNHCR-UG-10291,South West,Oruchinga,Arua,Burundi,2025,10,Female,48,University,1,2,Unaccompanied Child,Tap,Yes,Vegetables,0.13,Food,Child Protection,362304
632,UNHCR-UG-10292,West Nile,Imvepi,Arua,DRC,2022,3,Male,29,None,5,0,Single Parent,Tap,Yes,Vegetables,1.83,Cash,None,494066
633,UNHCR-UG-10293,West Nile,Rhino Camp,Arua,Rwanda,2019,3,Male,24,Primary,6,3,Elderly,Borehole,Yes,Vegetables,3.34,Cash,Food Insecurity,267185
634,UNHCR-UG-10294,Central,Kampala Urban,Arua,DRC,2018,1,Male,61,None,2,3,None,Tap,Yes,Vegetables,1.79,Food,GBV Risk,325220
635,UNHCR-UG-10295,West Nile,Lobule,Arua,South Sudan,2022,1,Female,48,None,10,3,Woman at Risk,Borehole,No,Vegetables,0.31,WASH,Food Insecurity,125931
636,UNHCR-UG-10296,West Nile,Palorinya,Arua,Rwanda,2017,10,Male,41,University,4,4,Woman at Risk,Borehole,No,Cassava,1.0,WASH,Food Insecurity,100955
637,UNHCR-UG-10297,Central,Kampala Urban,Arua,South Sudan,2019,6,Female,56,University,9,0,Elderly,Tap,No,Maize,0.81,NFI,GBV Risk,298243
638,UNHCR-UG-10298,Central,Kampala Urban,Arua,Somalia,2025,5,Male,55,Primary,4,4,None,Borehole,Yes,Maize,2.96,NFI,GBV Risk,466389
639,UNHCR-UG-10299,South West,Rwamwanja,Arua,DRC,2018,10,Male,63,University,10,2,Single Parent,Tap,No,None,2.27,Food,None,357146
640,UNHCR-UG-10300,South West,Nakivale,Arua,DRC,2016,9,Female,62,None,7,0,Woman at Risk,River,No,None,0.75,Cash,Child Protection,217923
641,UNHCR-UG-10301,West Nile,Bidi Bidi,Yumbe,DRC,2023,10,Male,28,None,6,2,Disability,Tap,Yes,Beans,1.85,Food,GBV Risk,26043
642,UNHCR-UG-10302,South West,Oruchinga,Arua,Burundi,2016,10,Male,56,Primary,7,2,Unaccompanied Child,River,No,None,0.11,NFI,Child Protection,338752
643,UNHCR-UG-10303,South West,Nakivale,Arua,Ethiopia,2018,7,Female,63,Secondary,8,4,Single Parent,Tap,Yes,Maize,1.86,NFI,GBV Risk,426259
644,UNHCR-UG-10304,South West,Rwamwanja,Arua,Ethiopia,2023,7,Female,48,Secondary,10,0,None,Tap,No,Maize,1.56,WASH,GBV Risk,494699
645,UNHCR-UG-10305,South West,Kyangwali,Arua,Rwanda,2023,4,Male,23,Secondary,8,2,Single Parent,Borehole,Yes,Vegetables,1.06,WASH,None,190277
646,UNHCR-UG-10306,South West,Rwamwanja,Arua,Rwanda,2023,10,Male,29,Primary,3,1,Unaccompanied Child,River,Yes,Vegetables,0.78,NFI,None,394679
647,UNHCR-UG-10307,West Nile,Lobule,Arua,Ethiopia,2023,1,Male,56,None,7,0,Disability,Tap,No,Vegetables,0.94,NFI,GBV Risk,207554
648,UNHCR-UG-10308,Mid West,Kiryandongo,Arua,Ethiopia,2018,8,Male,35,None,3,4,Disability,River,Yes,Maize,0.3,NFI,None,68607
649,UNHCR-UG-10309,Mid West,Kiryandongo,Arua,South Sudan,2024,1,Female,36,None,8,2,Unaccompanied Child,River,No,Cassava,2.62,WASH,Child Protection,302675
650,UNHCR-UG-10310,South West,Kyangwali,Arua,Eritrea,2017,3,Male,37,Primary,5,4,Elderly,Borehole,No,Vegetables,2.76,Cash,Child Protection,354721
651,UNHCR-UG-10311,Central,Kampala Urban,Arua,Eritrea,2024,8,Female,74,None,2,4,Elderly,Borehole,No,Vegetables,1.45,WASH,GBV Risk,315759
652,UNHCR-UG-10312,West Nile,Imvepi,Arua,DRC,2019,1,Male,26,None,7,4,Unaccompanied Child,Borehole,Yes,Vegetables,1.12,WASH,Food Insecurity,130889
653,UNHCR-UG-10313,South West,Nakivale,Arua,Ethiopia,2023,6,Male,28,University,5,3,None,Borehole,No,None,2.92,Food,GBV Risk,235973
654,UNHCR-UG-10314,West Nile,Imvepi,Arua,South Sudan,2019,10,Female,37,Secondary,10,4,None,River,No,Maize,2.62,Cash,Child Protection,8066
655,UNHCR-UG-10315,Mid West,Kiryandongo,Arua,Rwanda,2024,1,Male,59,Primary,1,1,Elderly,River,No,Maize,1.56,NFI,None,207251
656,UNHCR-UG-10316,West Nile,Palorinya,Arua,Burundi,2020,7,Female,26,Secondary,5,3,Single Parent,Borehole,No,Beans,1.7,Food,None,488983
657,UNHCR-UG-10317,West Nile,Imvepi,Arua,DRC,2016,5,Female,41,Secondary,8,1,Single Parent,River,No,Beans,0.21,Cash,Food Insecurity,485320
658,UNHCR-UG-10318,South West,Oruchinga,Arua,Burundi,2025,10,Female,24,University,5,0,Unaccompanied Child,River,Yes,None,0.96,NFI,Food Insecurity,47653
659,UNHCR-UG-10319,West Nile,Palorinya,Arua,Burundi,2020,5,Female,60,Primary,3,3,Woman at Risk,River,No,Maize,2.06,Cash,GBV Risk,327556
660,UNHCR-UG-10320,South West,Rwamwanja,Arua,Sudan,2023,5,Female,33,Primary,2,2,Unaccompanied Child,River,No,Beans,2.62,NFI,Child Protection,419366
661,UNHCR-UG-10321,Central,Kampala Urban,Arua,Somalia,2021,3,Female,28,University,9,3,Single Parent,Tap,Yes,Beans,2.99,Food,Food Insecurity,172082
