ID,Region,District,Health_Facility,Facility_Level,Disease,ICD10_Code,Age_Group,Gender,Cases_Reported,Deaths,Yield,Education,Water_Source,Irrigation,Crop,Reporting_Week,Reporting_Year,Month,Village_Cases,Stockout_Days,Income_UGX
520,Central,Mukono,Mukono District Hospital,HC II,Maternal Complications,J18,0-5,Female,204,4,204,None,Borehole,No,N/A,21,2024,Mar,44,13,196769
521,Eastern,Tororo,Tororo HC III,HC IV,Anemia,J18,6-12,Female,146,2,146,Secondary,Borehole,No,N/A,45,2024,Mar,9,14,490494
522,Eastern,Mbale,Mbale HC IV,HC III,Anemia,J18,6-12,Female,46,0,46,Primary,Tap,No,N/A,43,2024,Jan,19,13,159249
523,Northern,Lira,Lira District Hospital,HC IV,Malaria,B54,20-35,Female,210,4,210,None,Tap,No,N/A,45,2024,Mar,34,5,740724
524,Eastern,Mbale,Mbale District Hospital,HC III,Malnutrition,J18,0-5,Female,232,4,232,Secondary,Tap,No,N/A,50,2024,Mar,48,4,406455
525,Eastern,Mbale,Mbale District Hospital,HC IV,Anemia,J18,20-35,Female,65,1,65,None,Borehole,No,N/A,4,2024,Jan,36,8,510493
526,Central,Wakiso,Wakiso District Hospital,HC III,HIV/AIDS,J18,0-5,Female,71,1,71,Secondary,Tap,No,N/A,31,2024,Jan,2,1,242517
527,Central,Wakiso,Wakiso HC III,HC II,Diarrhea,J18,20-35,Female,98,1,98,Primary,Borehole,No,N/A,4,2024,Feb,43,12,520556
528,Western,Kabale,Kabale HC III,HC IV,Diabetes,J18,20-35,Male,57,1,57,Primary,Borehole,No,N/A,29,2024,Jan,35,5,230248
529,Western,Mbarara,Mbarara District Hospital,HC II,Diarrhea,J18,20-35,Female,98,1,98,Secondary,Tap,No,N/A,3,2024,Mar,13,12,157454
530,Central,Mukono,Mukono District Hospital,HC IV,Diarrhea,J18,0-5,Female,198,3,198,Primary,Borehole,No,N/A,14,2024,Mar,16,4,585637
531,Northern,Arua,Arua HC IV,HC II,Diabetes,J18,60+,Female,17,0,17,Primary,Borehole,No,N/A,29,2024,Jan,37,13,787600
532,Northern,Gulu,Gulu HC IV,HC II,Diabetes,J18,60+,Male,97,1,97,Primary,Borehole,No,N/A,10,2024,Jan,1,4,647856
533,Western,Kabale,Kabale District Hospital,HC IV,Maternal Complications,J18,20-35,Female,104,2,104,Secondary,Borehole,No,N/A,51,2024,Feb,2,10,693510
534,Western,Kabale,Kabale HC III,HC II,Maternal Complications,J18,60+,Male,43,0,43,Secondary,Tap,No,N/A,12,2024,Mar,24,10,83144
535,Northern,Gulu,Gulu District Hospital,HC III,Anemia,J18,6-12,Male,94,1,94,Primary,Tap,No,N/A,35,2024,Mar,32,5,79302
536,Central,Mukono,Mukono District Hospital,HC IV,Maternal Complications,J18,20-35,Male,213,4,213,Primary,Tap,No,N/A,23,2024,Feb,25,4,622159
537,Northern,Lira,Lira HC IV,HC IV,Malnutrition,J18,0-5,Female,95,1,95,None,Borehole,No,N/A,15,2024,Jan,39,8,250593
538,Northern,Arua,Arua HC III,HC III,HIV/AIDS,J18,60+,Male,192,3,192,Secondary,Tap,No,N/A,44,2024,Jan,6,8,745845
539,Central,Mukono,Mukono HC IV,HC III,HIV/AIDS,J18,0-5,Male,96,1,96,Primary,Borehole,No,N/A,27,2024,Jan,16,11,493715
540,Central,Kampala,Kampala HC III,HC III,HIV/AIDS,J18,20-35,Male,111,2,111,Primary,Borehole,No,N/A,30,2024,Mar,26,6,416418
541,Central,Mukono,Mukono District Hospital,HC III,Diarrhea,J18,60+,Male,19,0,19,Primary,Borehole,No,N/A,28,2024,Jan,23,6,759023
542,Central,Kampala,Kampala HC IV,HC II,Maternal Complications,J18,20-35,Male,157,3,157,Primary,Borehole,No,N/A,43,2024,Mar,31,5,48282
543,Western,Kabale,Kabale District Hospital,HC IV,Malaria,B54,6-12,Male,206,4,206,Secondary,Tap,No,N/A,12,2024,Feb,5,6,50768
544,Northern,Lira,Lira District Hospital,HC IV,Hypertension,J18,20-35,Male,48,0,48,None,Borehole,No,N/A,34,2024,Feb,24,2,314890
545,Northern,Arua,Arua HC IV,HC II,Malaria,B54,60+,Female,205,4,205,None,Borehole,No,N/A,49,2024,Feb,23,0,593509
546,Eastern,Tororo,Tororo District Hospital,HC II,Hypertension,J18,60+,Female,113,2,113,Secondary,Borehole,No,N/A,18,2024,Mar,20,2,346480
547,Western,Mbarara,Mbarara District Hospital,HC IV,Hypertension,J18,60+,Male,165,3,165,None,Tap,No,N/A,3,2024,Mar,13,8,471432
548,Eastern,Mbale,Mbale District Hospital,HC IV,Malnutrition,J18,20-35,Male,86,1,86,None,Tap,No,N/A,11,2024,Jan,34,13,415802
549,Northern,Arua,Arua HC III,HC IV,Diarrhea,J18,0-5,Female,67,1,67,None,Tap,No,N/A,42,2024,Mar,1,2,373944
550,Northern,Arua,Arua HC III,HC IV,Pneumonia,J18,0-5,Male,224,4,224,None,Borehole,No,N/A,8,2024,Mar,28,2,53407
551,Western,Mbarara,Mbarara HC III,HC IV,Maternal Complications,J18,0-5,Female,58,1,58,None,Tap,No,N/A,24,2024,Jan,22,13,321586
552,Western,Fort Portal,Fort Portal District Hospital,HC III,Anemia,J18,6-12,Male,31,0,31,Secondary,Borehole,No,N/A,16,2024,Jan,43,7,371042
553,Northern,Arua,Arua HC IV,HC II,HIV/AIDS,J18,0-5,Male,18,0,18,Primary,Borehole,No,N/A,18,2024,Mar,47,2,200003
554,Eastern,Tororo,Tororo HC III,HC III,Hypertension,J18,60+,Female,123,2,123,Primary,Tap,No,N/A,9,2024,Feb,12,14,56632
555,Eastern,Mbale,Mbale HC IV,HC III,Diabetes,J18,6-12,Male,179,3,179,Secondary,Borehole,No,N/A,43,2024,Mar,7,0,337384
556,Western,Fort Portal,Fort Portal HC IV,HC II,Malaria,B54,20-35,Male,173,3,173,Primary,Tap,No,N/A,24,2024,Mar,26,12,263773
557,Central,Wakiso,Wakiso HC III,HC III,Diabetes,J18,6-12,Male,135,2,135,None,Tap,No,N/A,49,2024,Feb,24,3,450898
558,Central,Wakiso,Wakiso HC III,HC III,Maternal Complications,J18,6-12,Male,114,2,114,Primary,Tap,No,N/A,21,2024,Jan,13,0,100385
559,Central,Wakiso,Wakiso District Hospital,HC II,Maternal Complications,J18,0-5,Female,48,0,48,Secondary,Borehole,No,N/A,14,2024,Jan,10,13,591863
560,Eastern,Jinja,Jinja HC IV,HC III,Diarrhea,J18,20-35,Female,94,1,94,Secondary,Borehole,No,N/A,18,2024,Feb,29,7,565196
561,Eastern,Tororo,Tororo HC III,HC III,TB,J18,60+,Male,52,1,52,None,Tap,No,N/A,14,2024,Jan,26,1,261230
562,Eastern,Jinja,Jinja District Hospital,HC IV,TB,J18,6-12,Female,126,2,126,None,Borehole,No,N/A,40,2024,Mar,26,5,107477
563,Western,Fort Portal,Fort Portal HC IV,HC IV,Hypertension,J18,60+,Female,244,4,244,Primary,Borehole,No,N/A,26,2024,Mar,46,3,6409
564,Northern,Gulu,Gulu HC III,HC IV,HIV/AIDS,J18,6-12,Female,189,3,189,None,Tap,No,N/A,7,2024,Feb,20,10,642407
565,Central,Wakiso,Wakiso District Hospital,HC III,HIV/AIDS,J18,60+,Male,133,2,133,Secondary,Tap,No,N/A,30,2024,Feb,13,5,356388
566,Eastern,Mbale,Mbale HC IV,HC III,Hypertension,J18,6-12,Female,148,2,148,None,Borehole,No,N/A,15,2024,Jan,10,2,349719
567,Western,Kabale,Kabale District Hospital,HC III,Malnutrition,J18,20-35,Male,161,3,161,None,Borehole,No,N/A,11,2024,Mar,40,11,738107
568,Central,Kampala,Kampala HC III,HC II,Anemia,J18,0-5,Female,193,3,193,None,Borehole,No,N/A,37,2024,Feb,44,5,567543
569,Eastern,Mbale,Mbale HC IV,HC IV,Maternal Complications,J18,0-5,Female,7,0,7,Primary,Borehole,No,N/A,4,2024,Feb,26,9,157980
570,Northern,Gulu,Gulu HC IV,HC III,Anemia,J18,20-35,Female,101,2,101,None,Borehole,No,N/A,45,2024,Jan,12,14,256506
571,Central,Wakiso,Wakiso HC IV,HC III,Malnutrition,J18,20-35,Male,196,3,196,Primary,Borehole,No,N/A,8,2024,Feb,41,1,593552
572,Eastern,Tororo,Tororo HC III,HC II,Diabetes,J18,6-12,Female,119,2,119,Primary,Borehole,No,N/A,34,2024,Mar,44,4,790681
573,Northern,Arua,Arua HC III,HC II,Diarrhea,J18,6-12,Male,156,3,156,None,Tap,No,N/A,13,2024,Jan,42,8,184930
574,Central,Mukono,Mukono HC III,HC III,Hypertension,J18,0-5,Male,62,1,62,Primary,Borehole,No,N/A,8,2024,Jan,25,8,576365
575,Western,Mbarara,Mbarara HC IV,HC IV,Maternal Complications,J18,20-35,Male,58,1,58,None,Tap,No,N/A,2,2024,Jan,8,9,761683
576,Central,Mukono,Mukono HC IV,HC II,Pneumonia,J18,60+,Male,20,0,20,None,Borehole,No,N/A,26,2024,Feb,45,6,282317
577,Northern,Arua,Arua HC IV,HC II,Diabetes,J18,0-5,Female,126,2,126,None,Borehole,No,N/A,47,2024,Feb,32,5,260956
578,Central,Kampala,Kampala HC III,HC III,Pneumonia,J18,6-12,Male,232,4,232,Secondary,Borehole,No,N/A,40,2024,Jan,5,10,617742
579,Eastern,Mbale,Mbale HC IV,HC IV,Diarrhea,J18,0-5,Male,162,3,162,None,Tap,No,N/A,49,2024,Feb,33,13,568708
580,Eastern,Tororo,Tororo District Hospital,HC II,Diabetes,J18,20-35,Female,126,2,126,Secondary,Tap,No,N/A,49,2024,Feb,26,6,66536
581,Eastern,Mbale,Mbale HC III,HC III,Maternal Complications,J18,6-12,Female,57,1,57,Primary,Tap,No,N/A,5,2024,Feb,6,5,146172
582,Western,Fort Portal,Fort Portal HC IV,HC III,HIV/AIDS,J18,60+,Male,99,1,99,Primary,Tap,No,N/A,10,2024,Feb,46,10,732330
583,Central,Kampala,Kampala HC IV,HC III,Anemia,J18,6-12,Female,58,1,58,Secondary,Borehole,No,N/A,4,2024,Feb,5,3,20489
584,Western,Kabale,Kabale HC III,HC II,Diabetes,J18,20-35,Female,6,0,6,None,Tap,No,N/A,19,2024,Jan,21,14,51999
585,Northern,Arua,Arua HC III,HC II,Malaria,B54,6-12,Female,102,2,102,None,Tap,No,N/A,52,2024,Feb,36,13,409184
586,Eastern,Mbale,Mbale HC IV,HC II,TB,J18,6-12,Female,75,1,75,Primary,Borehole,No,N/A,43,2024,Jan,7,11,438111
587,Northern,Lira,Lira HC IV,HC IV,Pneumonia,J18,0-5,Female,31,0,31,None,Tap,No,N/A,1,2024,Jan,3,5,214057
588,Eastern,Tororo,Tororo HC III,HC IV,Hypertension,J18,6-12,Female,72,1,72,None,Tap,No,N/A,10,2024,Jan,45,1,150701
589,Eastern,Jinja,Jinja District Hospital,HC II,HIV/AIDS,J18,60+,Male,46,0,46,Primary,Borehole,No,N/A,28,2024,Feb,17,1,735509
590,Central,Kampala,Kampala HC III,HC III,Anemia,J18,20-35,Male,140,2,140,Primary,Borehole,No,N/A,19,2024,Jan,36,9,446004
591,Central,Mukono,Mukono HC III,HC II,Anemia,J18,60+,Male,138,2,138,Secondary,Borehole,No,N/A,15,2024,Jan,6,7,765720
592,Northern,Arua,Arua HC IV,HC IV,Diabetes,J18,0-5,Female,161,3,161,Primary,Tap,No,N/A,46,2024,Mar,28,10,240446
593,Central,Mukono,Mukono District Hospital,HC III,Diarrhea,J18,0-5,Male,198,3,198,Secondary,Tap,No,N/A,24,2024,Feb,23,13,438531
594,Eastern,Jinja,Jinja District Hospital,HC III,Malnutrition,J18,60+,Male,123,2,123,Secondary,Borehole,No,N/A,11,2024,Jan,2,3,225006
595,Northern,Gulu,Gulu HC IV,HC IV,Malnutrition,J18,60+,Male,103,2,103,Secondary,Tap,No,N/A,8,2024,Jan,44,2,664008
596,Eastern,Jinja,Jinja HC III,HC III,Malnutrition,J18,0-5,Female,204,4,204,Secondary,Tap,No,N/A,1,2024,Mar,43,2,548094
597,Central,Wakiso,Wakiso HC IV,HC IV,Maternal Complications,J18,6-12,Male,184,3,184,Secondary,Borehole,No,N/A,51,2024,Jan,28,6,101251
598,Western,Fort Portal,Fort Portal District Hospital,HC IV,HIV/AIDS,J18,20-35,Male,229,4,229,Secondary,Borehole,No,N/A,8,2024,Jan,30,14,687797
599,Northern,Arua,Arua District Hospital,HC II,HIV/AIDS,J18,20-35,Male,217,4,217,None,Tap,No,N/A,23,2024,Jan,13,3,607410
600,Northern,Gulu,Gulu District Hospital,HC IV,Diarrhea,J18,0-5,Female,134,2,134,Primary,Borehole,No,N/A,3,2024,Feb,12,11,460994
601,Central,Mukono,Mukono District Hospital,HC IV,Malaria,B54,20-35,Female,120,2,120,None,Tap,No,N/A,17,2024,Mar,8,4,701028
602,Western,Fort Portal,Fort Portal HC IV,HC III,Pneumonia,J18,0-5,Male,35,0,35,Primary,Borehole,No,N/A,14,2024,Mar,23,12,535327
603,Northern,Lira,Lira HC IV,HC III,Diabetes,J18,6-12,Male,23,0,23,Primary,Borehole,No,N/A,45,2024,Mar,44,13,488037
604,Western,Fort Portal,Fort Portal HC IV,HC III,HIV/AIDS,J18,0-5,Male,88,1,88,Primary,Borehole,No,N/A,3,2024,Mar,39,8,435243
605,Northern,Gulu,Gulu HC III,HC II,Diabetes,J18,20-35,Male,86,1,86,Primary,Tap,No,N/A,15,2024,Jan,6,6,796850
606,Northern,Gulu,Gulu HC III,HC II,Hypertension,J18,6-12,Female,22,0,22,Secondary,Borehole,No,N/A,4,2024,Feb,37,13,352290
607,Eastern,Mbale,Mbale HC IV,HC II,Maternal Complications,J18,20-35,Male,47,0,47,None,Borehole,No,N/A,41,2024,Feb,46,5,187152
608,Central,Kampala,Kampala HC III,HC IV,Anemia,J18,0-5,Male,83,1,83,Secondary,Tap,No,N/A,41,2024,Mar,43,5,3695
609,Northern,Arua,Arua HC IV,HC IV,Diabetes,J18,20-35,Male,177,3,177,None,Tap,No,N/A,17,2024,Jan,35,0,301758
610,Central,Mukono,Mukono HC IV,HC III,Pneumonia,J18,0-5,Male,69,1,69,Primary,Tap,No,N/A,1,2024,Mar,26,1,598075
611,Western,Mbarara,Mbarara HC IV,HC II,Maternal Complications,J18,0-5,Female,111,2,111,Secondary,Tap,No,N/A,27,2024,Mar,25,14,361987
612,Western,Kabale,Kabale HC IV,HC IV,Anemia,J18,6-12,Female,38,0,38,Primary,Borehole,No,N/A,23,2024,Feb,13,0,507956
613,Eastern,Jinja,Jinja HC IV,HC III,Maternal Complications,J18,0-5,Female,3,0,3,Secondary,Borehole,No,N/A,50,2024,Mar,14,3,688697
614,Central,Mukono,Mukono District Hospital,HC IV,Anemia,J18,6-12,Female,77,1,77,Secondary,Borehole,No,N/A,14,2024,Feb,39,10,216591
615,Central,Mukono,Mukono HC IV,HC III,Malnutrition,J18,0-5,Male,147,2,147,None,Borehole,No,N/A,16,2024,Jan,37,0,194587
616,Western,Fort Portal,Fort Portal District Hospital,HC III,Pneumonia,J18,6-12,Male,119,2,119,Secondary,Tap,No,N/A,34,2024,Mar,30,6,313183
617,Eastern,Mbale,Mbale HC IV,HC III,Malnutrition,J18,6-12,Female,118,2,118,Primary,Borehole,No,N/A,9,2024,Feb,4,14,683702
618,Northern,Lira,Lira HC IV,HC II,Diarrhea,J18,0-5,Male,215,4,215,Secondary,Borehole,No,N/A,44,2024,Jan,5,8,535219
619,Northern,Gulu,Gulu HC III,HC II,HIV/AIDS,J18,60+,Male,147,2,147,Primary,Borehole,No,N/A,26,2024,Feb,18,3,182264
620,Western,Fort Portal,Fort Portal HC III,HC II,Hypertension,J18,60+,Male,84,1,84,Primary,Tap,No,N/A,41,2024,Mar,30,11,292771
621,Northern,Gulu,Gulu HC III,HC IV,HIV/AIDS,J18,0-5,Male,222,4,222,None,Tap,No,N/A,36,2024,Mar,33,10,442137
622,Northern,Arua,Arua HC IV,HC IV,Diabetes,J18,20-35,Female,31,0,31,None,Tap,No,N/A,42,2024,Mar,9,1,231037
623,Western,Fort Portal,Fort Portal HC IV,HC IV,Malnutrition,J18,20-35,Female,222,4,222,Secondary,Tap,No,N/A,39,2024,Jan,36,9,516319
624,Western,Mbarara,Mbarara District Hospital,HC IV,Maternal Complications,J18,6-12,Female,203,4,203,Secondary,Borehole,No,N/A,17,2024,Feb,2,12,798622
625,Eastern,Tororo,Tororo HC III,HC IV,Maternal Complications,J18,60+,Male,182,3,182,Primary,Tap,No,N/A,8,2024,Jan,7,8,580938
626,Eastern,Mbale,Mbale HC III,HC IV,Diarrhea,J18,20-35,Male,217,4,217,Primary,Tap,No,N/A,10,2024,Feb,26,13,291969
627,Eastern,Mbale,Mbale District Hospital,HC IV,Anemia,J18,6-12,Female,148,2,148,Primary,Tap,No,N/A,51,2024,Feb,10,9,65812
628,Western,Mbarara,Mbarara HC III,HC III,Hypertension,J18,20-35,Male,5,0,5,None,Tap,No,N/A,49,2024,Feb,44,3,649835
629,Western,Kabale,Kabale HC III,HC II,Malaria,B54,60+,Male,16,0,16,None,Tap,No,N/A,49,2024,Feb,44,10,653216
630,Eastern,Mbale,Mbale District Hospital,HC IV,Pneumonia,J18,20-35,Female,73,1,73,Primary,Tap,No,N/A,41,2024,Mar,24,7,77201
631,Northern,Gulu,Gulu HC III,HC II,Malaria,B54,6-12,Female,399,7,399,Primary,Borehole,No,N/A,9,2024,Jan,43,2,675598
632,Central,Wakiso,Wakiso HC IV,HC IV,TB,J18,6-12,Male,194,3,194,None,Borehole,No,N/A,39,2024,Mar,17,7,658729
633,Northern,Gulu,Gulu HC IV,HC II,Malnutrition,J18,6-12,Female,4,0,4,Primary,Tap,No,N/A,27,2024,Mar,24,13,101426
634,Central,Mukono,Mukono HC IV,HC IV,Hypertension,J18,6-12,Male,209,4,209,None,Tap,No,N/A,4,2024,Jan,43,7,287555
635,Western,Kabale,Kabale District Hospital,HC IV,Pneumonia,J18,60+,Female,127,2,127,Secondary,Borehole,No,N/A,15,2024,Feb,26,13,153247
636,Central,Mukono,Mukono HC IV,HC III,Malnutrition,J18,60+,Male,180,3,180,Primary,Borehole,No,N/A,19,2024,Feb,45,13,446199
637,Western,Mbarara,Mbarara HC III,HC II,Pneumonia,J18,60+,Female,124,2,124,Secondary,Tap,No,N/A,19,2024,Mar,36,6,495549
638,Northern,Lira,Lira HC IV,HC II,TB,J18,20-35,Female,78,1,78,Secondary,Tap,No,N/A,5,2024,Mar,22,12,755371
639,Central,Mukono,Mukono HC IV,HC III,Malaria,B54,0-5,Female,170,3,170,None,Borehole,No,N/A,28,2024,Feb,21,4,370626
640,Western,Mbarara,Mbarara HC IV,HC II,Maternal Complications,J18,20-35,Female,127,2,127,None,Tap,No,N/A,48,2024,Mar,7,9,745810
641,Eastern,Tororo,Tororo District Hospital,HC III,TB,J18,20-35,Female,197,3,197,Secondary,Tap,No,N/A,50,2024,Jan,11,2,338179
642,Northern,Lira,Lira District Hospital,HC III,Hypertension,J18,0-5,Female,75,1,75,Primary,Tap,No,N/A,12,2024,Feb,43,6,519716
643,Western,Fort Portal,Fort Portal HC III,HC III,Hypertension,J18,20-35,Male,176,3,176,None,Borehole,No,N/A,1,2024,Jan,20,3,86572
644,Northern,Gulu,Gulu HC IV,HC III,HIV/AIDS,J18,6-12,Male,42,0,42,Secondary,Tap,No,N/A,46,2024,Mar,5,10,552091
645,Central,Wakiso,Wakiso District Hospital,HC IV,Anemia,J18,6-12,Female,224,4,224,None,Borehole,No,N/A,32,2024,Jan,31,4,215969
646,Northern,Arua,Arua HC IV,HC III,Malnutrition,J18,20-35,Female,81,1,81,Primary,Borehole,No,N/A,23,2024,Jan,2,11,92697
647,Eastern,Jinja,Jinja HC IV,HC II,Hypertension,J18,6-12,Female,77,1,77,Secondary,Tap,No,N/A,7,2024,Mar,7,3,688817
648,Northern,Lira,Lira District Hospital,HC III,Maternal Complications,J18,6-12,Male,62,1,62,Primary,Borehole,No,N/A,49,2024,Jan,26,4,110627
649,Eastern,Mbale,Mbale HC IV,HC IV,Malaria,B54,60+,Male,199,3,199,Primary,Tap,No,N/A,3,2024,Feb,3,1,69245
650,Western,Mbarara,Mbarara District Hospital,HC IV,Diarrhea,J18,0-5,Female,28,0,28,Primary,Borehole,No,N/A,35,2024,Feb,26,4,204851
651,Eastern,Mbale,Mbale HC III,HC IV,Hypertension,J18,0-5,Female,93,1,93,Secondary,Borehole,No,N/A,31,2024,Feb,27,0,394763
652,Western,Fort Portal,Fort Portal HC IV,HC II,Malaria,B54,0-5,Female,123,2,123,Primary,Borehole,No,N/A,48,2024,Jan,12,9,700908
653,Western,Fort Portal,Fort Portal District Hospital,HC II,Pneumonia,J18,60+,Male,69,1,69,Secondary,Tap,No,N/A,22,2024,Jan,29,14,130735
654,Eastern,Jinja,Jinja District Hospital,HC IV,Diarrhea,J18,0-5,Female,14,0,14,Secondary,Borehole,No,N/A,20,2024,Feb,19,1,301541
655,Eastern,Tororo,Tororo District Hospital,HC II,Diabetes,J18,20-35,Female,107,2,107,None,Borehole,No,N/A,26,2024,Feb,34,1,479245
656,Eastern,Tororo,Tororo HC III,HC IV,Diarrhea,J18,60+,Male,74,1,74,Secondary,Tap,No,N/A,33,2024,Jan,25,10,250483
657,Eastern,Tororo,Tororo HC III,HC III,HIV/AIDS,J18,6-12,Female,50,1,50,Primary,Borehole,No,N/A,13,2024,Feb,48,4,387422
658,Central,Mukono,Mukono District Hospital,HC III,Hypertension,J18,0-5,Female,65,1,65,None,Tap,No,N/A,17,2024,Jan,38,0,760615
659,Central,Kampala,Kampala HC IV,HC III,Diarrhea,J18,6-12,Female,94,1,94,Primary,Borehole,No,N/A,43,2024,Mar,39,11,80513
660,Eastern,Jinja,Jinja HC III,HC IV,Diarrhea,J18,0-5,Female,108,2,108,Secondary,Borehole,No,N/A,16,2024,Mar,49,13,578273
661,Western,Mbarara,Mbarara District Hospital,HC II,TB,J18,6-12,Male,130,2,130,Primary,Borehole,No,N/A,21,2024,Feb,31,4,202938
662,Central,Kampala,Kampala District Hospital,HC II,Diabetes,J18,60+,Male,241,4,241,Secondary,Tap,No,N/A,44,2024,Jan,21,8,240127
663,Northern,Gulu,Gulu HC III,HC IV,Malaria,B54,20-35,Female,133,2,133,Primary,Borehole,No,N/A,11,2024,Feb,25,9,114337
664,Eastern,Jinja,Jinja District Hospital,HC IV,TB,J18,60+,Male,227,4,227,None,Borehole,No,N/A,1,2024,Feb,5,6,338326
665,Western,Mbarara,Mbarara HC III,HC II,HIV/AIDS,J18,6-12,Male,239,4,239,Primary,Tap,No,N/A,45,2024,Feb,2,11,77660
666,Eastern,Mbale,Mbale District Hospital,HC II,Malnutrition,J18,6-12,Male,199,3,199,Primary,Borehole,No,N/A,42,2024,Jan,46,2,131294
667,Western,Mbarara,Mbarara HC III,HC III,Anemia,J18,60+,Male,53,1,53,Secondary,Tap,No,N/A,17,2024,Jan,44,1,273385
668,Eastern,Mbale,Mbale HC IV,HC III,Diarrhea,J18,20-35,Female,202,4,202,None,Tap,No,N/A,23,2024,Jan,24,10,617667
669,Central,Wakiso,Wakiso District Hospital,HC II,Maternal Complications,J18,0-5,Female,99,1,99,Secondary,Tap,No,N/A,36,2024,Jan,44,2,109333
670,Northern,Lira,Lira HC IV,HC III,HIV/AIDS,J18,60+,Male,12,0,12,Primary,Tap,No,N/A,39,2024,Mar,18,11,475123
671,Northern,Lira,Lira HC III,HC III,Malnutrition,J18,60+,Female,49,0,49,None,Tap,No,N/A,13,2024,Mar,37,14,656885
672,Central,Kampala,Kampala HC IV,HC III,HIV/AIDS,J18,6-12,Male,167,3,167,Secondary,Tap,No,N/A,6,2024,Feb,41,4,352831
673,Central,Wakiso,Wakiso HC III,HC III,HIV/AIDS,J18,60+,Male,159,3,159,Primary,Borehole,No,N/A,50,2024,Feb,24,8,42776
674,Central,Wakiso,Wakiso HC IV,HC II,TB,J18,20-35,Female,194,3,194,Secondary,Borehole,No,N/A,38,2024,Jan,29,2,25118
675,Western,Kabale,Kabale HC IV,HC IV,Malnutrition,J18,0-5,Male,212,4,212,Secondary,Borehole,No,N/A,3,2024,Mar,14,11,247236
676,Eastern,Jinja,Jinja HC III,HC II,Pneumonia,J18,60+,Male,226,4,226,Secondary,Tap,No,N/A,31,2024,Mar,26,11,440309
677,Northern,Gulu,Gulu District Hospital,HC II,Hypertension,J18,60+,Female,208,4,208,Primary,Borehole,No,N/A,7,2024,Jan,19,9,406554
678,Central,Mukono,Mukono HC IV,HC IV,Hypertension,J18,60+,Female,185,3,185,None,Borehole,No,N/A,30,2024,Feb,44,1,580196
679,Eastern,Tororo,Tororo HC III,HC IV,Malaria,B54,20-35,Female,86,1,86,None,Borehole,No,N/A,31,2024,Feb,47,7,667454
680,Central,Wakiso,Wakiso District Hospital,HC III,Maternal Complications,J18,60+,Male,1,0,1,Primary,Tap,No,N/A,45,2024,Feb,19,0,419710
681,Eastern,Tororo,Tororo HC III,HC II,Hypertension,J18,60+,Female,165,3,165,None,Tap,No,N/A,28,2024,Feb,4,13,794035
682,Central,Kampala,Kampala HC IV,HC III,Diabetes,J18,60+,Male,220,4,220,Primary,Tap,No,N/A,22,2024,Mar,12,1,233608
683,Western,Fort Portal,Fort Portal HC III,HC II,Malnutrition,J18,6-12,Male,197,3,197,Secondary,Borehole,No,N/A,51,2024,Feb,9,14,493710
684,Central,Mukono,Mukono HC IV,HC IV,Diabetes,J18,20-35,Female,166,3,166,Primary,Tap,No,N/A,24,2024,Mar,37,12,204575
685,Western,Kabale,Kabale HC III,HC III,Maternal Complications,J18,0-5,Male,57,1,57,Secondary,Tap,No,N/A,49,2024,Feb,23,5,99962
686,Eastern,Tororo,Tororo HC IV,HC IV,Pneumonia,J18,60+,Female,74,1,74,Secondary,Tap,No,N/A,33,2024,Jan,39,6,350226
687,Eastern,Mbale,Mbale HC III,HC III,Pneumonia,J18,0-5,Male,67,1,67,Secondary,Borehole,No,N/A,21,2024,Feb,22,5,305692
688,Northern,Arua,Arua HC IV,HC IV,TB,J18,6-12,Female,230,4,230,None,Borehole,No,N/A,48,2024,Jan,41,3,519146
689,Eastern,Tororo,Tororo HC III,HC IV,Malnutrition,J18,6-12,Male,184,3,184,Primary,Borehole,No,N/A,23,2024,Feb,34,0,20307
690,Western,Mbarara,Mbarara District Hospital,HC III,TB,J18,0-5,Male,5,0,5,Secondary,Tap,No,N/A,36,2024,Jan,10,2,598554
691,Western,Kabale,Kabale District Hospital,HC III,HIV/AIDS,J18,60+,Female,182,3,182,None,Borehole,No,N/A,8,2024,Jan,28,10,395010
692,Northern,Arua,Arua HC III,HC II,Diarrhea,J18,0-5,Female,143,2,143,Secondary,Borehole,No,N/A,18,2024,Jan,46,2,506709
693,Central,Wakiso,Wakiso HC IV,HC III,Maternal Complications,J18,6-12,Female,151,3,151,Primary,Tap,No,N/A,6,2024,Jan,6,8,232980
694,Northern,Arua,Arua HC III,HC II,Pneumonia,J18,20-35,Male,172,3,172,Secondary,Tap,No,N/A,13,2024,Mar,35,2,79859
695,Central,Wakiso,Wakiso HC III,HC III,Diabetes,J18,20-35,Male,26,0,26,None,Tap,No,N/A,37,2024,Mar,11,11,249973
696,Western,Kabale,Kabale HC IV,HC II,Diabetes,J18,20-35,Female,142,2,142,None,Borehole,No,N/A,40,2024,Feb,32,4,19323
697,Eastern,Tororo,Tororo HC III,HC IV,Anemia,J18,0-5,Male,144,2,144,Primary,Tap,No,N/A,37,2024,Jan,27,13,627715
698,Northern,Arua,Arua HC IV,HC IV,Malnutrition,J18,6-12,Male,111,2,111,Secondary,Borehole,No,N/A,18,2024,Jan,38,13,559888
699,Eastern,Mbale,Mbale HC III,HC II,Malnutrition,J18,0-5,Female,116,2,116,Primary,Borehole,No,N/A,51,2024,Feb,30,13,738007
