ID,Region,Sub_Region,District,Education,Crop,Yield,Water_Source,Irrigation,Area_Planted_Ha,Production_MT,Crop_Purpose,Fertilizer_Use,Improved_Seed,Gender_HH_Head,Farm_Size_Acres,Income_UGX
541,Central,Buganda South,Masaka,None,Maize,3.34,Borehole,No,2.94,9.82,Own consumption only,No,Yes,Male,7.3,1488106
542,Northern,Lango,Lira,Primary,Matooke,2.37,Borehole,No,4.09,9.69,Mainly own with some sale,Yes,No,Male,10.1,3279190
543,Northern,Karamoja,Kotido,Primary,Beans,1.7,Borehole,No,5.24,8.91,Own consumption only,No,No,Male,12.9,1889461
544,Northern,Acholi,Pader,Primary,Rice,5.7,Borehole,No,5.13,29.24,Mainly own with some sale,Yes,No,Female,12.7,919097
545,Eastern,Bukedi,Busia,Secondary,Beans,4.66,Borehole,No,3.94,18.36,Own consumption only,No,No,Male,9.7,2788509
546,Eastern,Teso,Kumi,Secondary,Matooke,3.05,Rain,No,0.9,2.75,Mainly own with some sale,No,No,Male,2.2,1564022
547,Central,Buganda North,Nakaseke,Primary,Sorghum,5.73,Borehole,No,1.66,9.51,Own consumption only,No,No,Male,4.1,2514643
548,Eastern,Elgon,Mbale,None,Matooke,4.58,River,No,0.45,2.06,Own consumption only,No,Yes,Male,1.1,265359
549,Eastern,Elgon,Kapchorwa,University,Rice,1.18,River,No,3.11,3.67,Mainly own with some sale,No,Yes,Male,7.7,401924
550,Western,Ankole,Mbarara,Primary,Coffee,5.3,Borehole,Yes,0.97,5.14,Mainly own with some sale,No,Yes,Male,2.4,2515600
551,Western,Ankole,Mbarara,Secondary,Cassava,3.18,Rain,No,4.02,12.78,Own consumption only,Yes,No,Male,9.9,2527770
552,Northern,Karamoja,Kotido,None,Sorghum,4.09,River,No,4.4,18.0,Own consumption only,Yes,No,Male,10.9,1310248
553,Western,Ankole,Ntungamo,Secondary,Sorghum,6.25,Borehole,No,0.72,4.5,Mainly own with some sale,Yes,No,Female,1.8,340706
554,Northern,Acholi,Kitgum,Primary,Matooke,2.08,River,No,1.27,2.64,Mainly own with some sale,Yes,Yes,Female,3.1,2131019
555,Northern,West Nile,Nebbi,Secondary,Maize,3.41,Borehole,No,1.47,5.01,Mainly own with some sale,No,Yes,Female,3.6,2795088
556,Western,Kigezi,Rukungiri,Primary,Beans,1.03,Borehole,No,2.84,2.93,Own consumption only,Yes,No,Male,7.0,1378807
557,Eastern,Elgon,Mbale,Secondary,Cassava,5.53,Rain,No,2.09,11.56,Mainly own with some sale,No,No,Male,5.2,1598763
558,Central,Buganda South,Masaka,Secondary,Coffee,1.45,Borehole,No,3.16,4.58,Mainly own with some sale,No,Yes,Male,7.8,925158
559,Eastern,Elgon,Mbale,Primary,Sorghum,4.81,River,No,4.94,23.76,Mainly own with some sale,Yes,No,Male,12.2,1571174
560,Northern,Acholi,Gulu,Secondary,Beans,7.09,River,Yes,2.41,17.09,Own consumption only,Yes,No,Male,6.0,946184
561,Central,Buganda North,Nakaseke,Primary,Millet,5.26,Borehole,No,3.0,15.78,Own consumption only,Yes,No,Female,7.4,1854581
562,Central,Buganda North,Nakaseke,Secondary,Sweet Potatoes,7.12,Rain,No,4.23,30.12,Mainly own with some sale,Yes,No,Male,10.5,1006047
563,Eastern,Bukedi,Tororo,Primary,Matooke,0.9,River,No,0.8,0.72,Own consumption only,No,No,Male,2.0,585071
564,Western,Bunyoro,Masindi,University,Coffee,5.86,Rain,No,4.11,24.08,Mainly own with some sale,No,No,Male,10.2,1460875
565,Eastern,Busoga,Jinja,Secondary,Cassava,4.82,Borehole,No,1.09,5.25,Mainly own with some sale,Yes,Yes,Male,2.7,3286702
566,Eastern,Bukedi,Busia,Secondary,Matooke,2.4,Rain,No,0.38,0.91,Own consumption only,No,Yes,Female,0.9,1773154
567,Northern,Acholi,Pader,None,Groundnuts,0.3,River,No,4.83,1.45,Mainly own with some sale,Yes,No,Male,11.9,2949250
568,Northern,West Nile,Arua,None,Groundnuts,3.61,River,Yes,4.45,16.06,Own consumption only,No,No,Male,11.0,665693
569,Central,Buganda North,Nakaseke,None,Cassava,5.13,River,No,4.58,23.5,Own consumption only,No,Yes,Male,11.3,1539330
570,Central,Buganda South,Wakiso,None,Maize,5.16,River,No,0.8,4.13,Own consumption only,No,No,Male,2.0,3161786
571,Eastern,Bukedi,Busia,Primary,Matooke,2.37,River,No,1.78,4.22,Mainly own with some sale,No,Yes,Female,4.4,1007342
572,Eastern,Busoga,Iganga,None,Coffee,6.08,Borehole,Yes,3.02,18.36,Mainly own with some sale,Yes,Yes,Male,7.5,1670943
573,Central,Buganda South,Wakiso,None,Sweet Potatoes,3.67,Borehole,No,1.37,5.03,Mainly own with some sale,No,Yes,Male,3.4,641862
574,Eastern,Elgon,Mbale,None,Coffee,3.3,River,No,1.88,6.2,Mainly own with some sale,No,Yes,Male,4.6,3226600
575,Western,Tooro,Kabarole,None,Sorghum,4.97,Rain,Yes,3.59,17.84,Mainly own with some sale,No,No,Male,8.9,1996198
576,Northern,Karamoja,Kotido,Secondary,Beans,4.68,Rain,No,2.88,13.48,Mainly own with some sale,No,Yes,Male,7.1,2070379
577,Western,Kigezi,Kabale,Secondary,Coffee,2.59,Rain,No,5.35,13.86,Own consumption only,Yes,Yes,Male,13.2,3022176
578,Northern,West Nile,Arua,Primary,Millet,6.12,Rain,No,4.62,28.27,Mainly own with some sale,No,Yes,Male,11.4,2204376
579,Northern,Karamoja,Moroto,None,Coffee,2.26,Borehole,No,4.53,10.24,Own consumption only,Yes,Yes,Male,11.2,2852994
580,Northern,Lango,Lira,Primary,Coffee,2.2,Rain,No,0.9,1.98,Mainly own with some sale,Yes,No,Male,2.2,2966601
581,Eastern,Busoga,Jinja,Secondary,Cassava,5.28,River,No,5.26,27.77,Own consumption only,Yes,Yes,Female,13.0,1137073
582,Central,Buganda South,Masaka,None,Groundnuts,3.45,Rain,No,2.23,7.69,Mainly own with some sale,Yes,Yes,Male,5.5,2580721
583,Western,Tooro,Fort Portal,Primary,Beans,2.8,Borehole,Yes,3.8,10.64,Own consumption only,Yes,No,Male,9.4,930741
584,Northern,Lango,Lira,Primary,Groundnuts,3.96,River,No,4.13,16.35,Mainly own with some sale,No,Yes,Male,10.2,1902374
585,Western,Tooro,Kabarole,Primary,Sweet Potatoes,6.58,Borehole,No,2.32,15.27,Mainly own with some sale,No,Yes,Male,5.7,1196161
586,Central,Buganda South,Wakiso,Secondary,Beans,2.2,Borehole,No,3.77,8.29,Mainly own with some sale,Yes,Yes,Male,9.3,2329431
587,Northern,Lango,Lira,None,Maize,2.86,Borehole,No,3.29,9.41,Mainly own with some sale,Yes,Yes,Male,8.1,2076711
588,Northern,Acholi,Gulu,Primary,Beans,1.37,Borehole,No,2.03,2.78,Own consumption only,Yes,No,Male,5.0,3044704
589,Western,Bunyoro,Masindi,Primary,Sorghum,3.96,Rain,No,4.69,18.57,Own consumption only,Yes,No,Male,11.6,978791
590,Eastern,Elgon,Kapchorwa,None,Sorghum,6.95,Borehole,No,2.88,20.02,Mainly own with some sale,Yes,No,Male,7.1,2630252
591,Eastern,Bukedi,Tororo,Primary,Millet,6.51,Borehole,Yes,1.73,11.26,Mainly own with some sale,No,No,Male,4.3,1486092
592,Western,Tooro,Fort Portal,Primary,Sorghum,1.35,Rain,No,3.42,4.62,Own consumption only,Yes,No,Male,8.5,2908010
593,Eastern,Busoga,Iganga,Secondary,Rice,2.39,Rain,No,2.53,6.05,Own consumption only,No,Yes,Female,6.3,543574
594,Central,Buganda South,Masaka,University,Beans,4.31,Borehole,No,2.04,8.79,Own consumption only,Yes,Yes,Female,5.0,1692247
595,Western,Bunyoro,Hoima,Secondary,Groundnuts,4.58,Rain,No,3.22,14.75,Mainly own with some sale,No,Yes,Male,8.0,1185354
596,Eastern,Bukedi,Tororo,Secondary,Millet,2.74,River,No,3.38,9.26,Mainly own with some sale,Yes,Yes,Male,8.4,740381
597,Western,Kigezi,Kabale,Primary,Matooke,1.33,River,No,5.2,6.92,Mainly own with some sale,No,No,Male,12.8,1059245
598,Eastern,Elgon,Kapchorwa,Primary,Beans,4.48,Rain,No,2.54,11.38,Mainly own with some sale,Yes,No,Male,6.3,2531486
599,Central,Buganda South,Wakiso,None,Matooke,3.59,Rain,No,4.47,16.05,Own consumption only,Yes,No,Male,11.0,1763374
600,Western,Bunyoro,Hoima,Secondary,Cassava,0.51,River,No,1.56,0.8,Own consumption only,No,Yes,Female,3.9,2924825
601,Northern,West Nile,Arua,Primary,Groundnuts,5.96,River,Yes,3.62,21.58,Own consumption only,Yes,Yes,Male,8.9,2331913
602,Northern,Acholi,Pader,Secondary,Sweet Potatoes,0.32,Rain,No,0.68,0.22,Own consumption only,Yes,No,Female,1.7,2888363
603,Northern,Karamoja,Kotido,None,Cassava,6.14,Rain,No,4.26,26.16,Mainly own with some sale,No,No,Male,10.5,2641749
604,Northern,Lango,Apac,Primary,Beans,1.07,Rain,Yes,2.05,2.19,Own consumption only,No,No,Male,5.1,2842752
605,Eastern,Busoga,Iganga,None,Beans,1.97,River,No,4.66,9.18,Own consumption only,Yes,No,Female,11.5,3364215
606,Eastern,Busoga,Jinja,None,Cassava,3.1,Rain,No,5.12,15.87,Own consumption only,Yes,No,Female,12.7,3417986
607,Eastern,Bukedi,Tororo,Secondary,Cassava,5.54,River,No,2.41,13.35,Mainly own with some sale,No,No,Male,6.0,150159
608,Western,Ankole,Mbarara,Secondary,Sorghum,5.23,River,No,1.48,7.74,Own consumption only,Yes,Yes,Male,3.7,486907
609,Eastern,Busoga,Iganga,Secondary,Sweet Potatoes,6.39,Rain,No,1.04,6.65,Own consumption only,Yes,No,Female,2.6,987393
610,Western,Bunyoro,Masindi,Primary,Sorghum,0.73,Rain,Yes,3.95,2.88,Mainly own with some sale,Yes,No,Male,9.8,352346
611,Central,Buganda North,Nakaseke,Secondary,Coffee,6.28,Rain,No,3.19,20.03,Mainly own with some sale,No,No,Female,7.9,1963924
612,Northern,Acholi,Gulu,University,Sweet Potatoes,3.71,Borehole,No,3.84,14.25,Own consumption only,Yes,Yes,Female,9.5,966228
613,Northern,Acholi,Pader,University,Sweet Potatoes,1.19,Rain,No,1.68,2.0,Own consumption only,No,Yes,Male,4.2,3051092
614,Western,Bunyoro,Hoima,Primary,Beans,3.75,River,No,5.27,19.76,Own consumption only,No,Yes,Male,13.0,2249409
615,Eastern,Bukedi,Busia,Primary,Sorghum,6.17,Borehole,No,4.56,28.14,Mainly own with some sale,Yes,No,Male,11.3,1568412
616,Western,Tooro,Fort Portal,None,Coffee,1.24,River,No,1.77,2.19,Own consumption only,No,No,Male,4.4,466480
617,Central,Buganda South,Wakiso,None,Sorghum,0.6,River,No,0.65,0.39,Mainly own with some sale,Yes,Yes,Male,1.6,3061756
618,Eastern,Bukedi,Tororo,None,Rice,6.08,Borehole,No,5.03,30.58,Own consumption only,No,Yes,Female,12.4,466275
619,Eastern,Elgon,Kapchorwa,Primary,Sorghum,6.36,Rain,No,4.04,25.69,Mainly own with some sale,No,Yes,Male,10.0,2979915
620,Western,Kigezi,Rukungiri,Secondary,Sweet Potatoes,4.27,River,No,4.74,20.24,Own consumption only,No,No,Male,11.7,3074576
621,Eastern,Busoga,Iganga,Primary,Millet,2.7,Rain,Yes,2.95,7.97,Own consumption only,Yes,Yes,Male,7.3,2991351
622,Northern,Acholi,Gulu,Primary,Matooke,2.31,Borehole,No,3.41,7.88,Own consumption only,No,No,Male,8.4,1756734
623,Eastern,Teso,Kumi,University,Cassava,0.7,Rain,No,2.71,1.9,Mainly own with some sale,No,Yes,Female,6.7,1909771
624,Western,Bunyoro,Masindi,Secondary,Sweet Potatoes,1.86,River,No,2.14,3.98,Own consumption only,Yes,Yes,Male,5.3,2627748
625,Eastern,Elgon,Kapchorwa,Secondary,Maize,2.98,Rain,Yes,3.57,10.64,Mainly own with some sale,No,No,Male,8.8,2266142
626,Northern,Karamoja,Kotido,None,Matooke,5.06,Rain,No,3.86,19.53,Mainly own with some sale,Yes,No,Male,9.5,1636561
627,Western,Tooro,Kabarole,Primary,Sorghum,6.94,River,No,5.23,36.3,Mainly own with some sale,No,Yes,Male,12.9,1556978
628,Northern,West Nile,Arua,None,Maize,3.62,Rain,Yes,4.78,17.3,Own consumption only,No,Yes,Male,11.8,3010613
629,Northern,Karamoja,Kotido,Primary,Rice,6.86,River,No,1.24,8.51,Own consumption only,Yes,Yes,Female,3.1,1499590
630,Eastern,Busoga,Iganga,Primary,Coffee,0.39,Rain,Yes,1.33,0.52,Mainly own with some sale,Yes,Yes,Male,3.3,3364159
631,Western,Ankole,Bushenyi,Primary,Matooke,3.01,Borehole,No,5.33,16.04,Own consumption only,Yes,Yes,Male,13.2,2865223
632,Western,Ankole,Mbarara,Secondary,Matooke,3.74,Rain,No,4.29,16.04,Mainly own with some sale,No,Yes,Male,10.6,1851591
633,Western,Kigezi,Rukungiri,Secondary,Sorghum,6.15,Rain,No,1.9,11.69,Own consumption only,Yes,No,Male,4.7,1604089
634,Central,Buganda South,Wakiso,University,Maize,3.05,Rain,No,1.73,5.28,Own consumption only,Yes,No,Male,4.3,1830989
635,Central,Buganda North,Nakaseke,Primary,Beans,3.37,Rain,No,0.51,1.72,Mainly own with some sale,Yes,Yes,Male,1.3,2692528
636,Western,Ankole,Ntungamo,Primary,Sweet Potatoes,6.35,Rain,No,4.98,31.62,Own consumption only,Yes,No,Female,12.3,1233116
637,Northern,Karamoja,Moroto,Primary,Millet,4.31,Borehole,No,5.24,22.58,Own consumption only,Yes,Yes,Male,12.9,2467614
638,Eastern,Busoga,Jinja,Secondary,Cassava,6.46,River,Yes,5.22,33.72,Mainly own with some sale,No,Yes,Male,12.9,2679832
639,Central,Buganda North,Nakaseke,None,Matooke,0.53,River,Yes,3.35,1.78,Own consumption only,Yes,Yes,Male,8.3,2619146
640,Eastern,Elgon,Mbale,Secondary,Rice,5.31,Borehole,No,0.45,2.39,Own consumption only,Yes,Yes,Male,1.1,1968902
641,Western,Tooro,Kabarole,Primary,Sweet Potatoes,1.18,River,No,0.4,0.47,Own consumption only,No,No,Male,1.0,2245013
642,Eastern,Bukedi,Tororo,None,Matooke,1.89,River,No,1.81,3.42,Mainly own with some sale,Yes,Yes,Female,4.5,3389254
643,Western,Kigezi,Kabale,Primary,Coffee,2.54,River,No,1.81,4.6,Mainly own with some sale,Yes,Yes,Female,4.5,2226198
644,Eastern,Elgon,Kapchorwa,Secondary,Cassava,4.04,Borehole,No,4.24,17.13,Mainly own with some sale,Yes,No,Female,10.5,3435512
645,Northern,Acholi,Gulu,Primary,Matooke,0.59,Borehole,No,5.25,3.1,Own consumption only,Yes,No,Female,13.0,2219694
646,Northern,Karamoja,Moroto,Secondary,Groundnuts,7.01,Borehole,No,1.11,7.78,Own consumption only,No,Yes,Male,2.7,687977
647,Eastern,Busoga,Iganga,Secondary,Sweet Potatoes,2.68,Rain,No,4.71,12.62,Mainly own with some sale,No,Yes,Female,11.6,453664
648,Eastern,Teso,Kumi,Primary,Coffee,3.3,River,No,3.76,12.41,Mainly own with some sale,No,No,Female,9.3,2026336
649,Central,Buganda North,Nakaseke,Secondary,Beans,1.16,Rain,No,4.35,5.05,Mainly own with some sale,Yes,Yes,Female,10.7,2434408
650,Northern,Acholi,Gulu,Primary,Sorghum,0.66,Rain,Yes,5.33,3.52,Mainly own with some sale,Yes,Yes,Male,13.2,2017306
651,Western,Kigezi,Rukungiri,Primary,Groundnuts,4.97,River,No,4.49,22.32,Own consumption only,No,Yes,Male,11.1,3271526
652,Central,Buganda North,Luwero,None,Groundnuts,7.08,Rain,No,4.71,33.35,Mainly own with some sale,Yes,Yes,Male,11.6,2394747
653,Northern,Acholi,Kitgum,Secondary,Groundnuts,3.27,Borehole,No,5.16,16.87,Mainly own with some sale,No,Yes,Male,12.8,1974964
654,Northern,Lango,Apac,University,Matooke,2.88,River,No,0.5,1.44,Own consumption only,No,Yes,Male,1.2,2369484
655,Eastern,Elgon,Mbale,Primary,Sweet Potatoes,2.54,River,No,5.45,13.84,Mainly own with some sale,Yes,No,Female,13.5,245556
656,Eastern,Teso,Kumi,Primary,Maize,5.39,Borehole,No,2.34,12.61,Own consumption only,Yes,Yes,Male,5.8,2803528
657,Central,Buganda North,Nakaseke,Secondary,Rice,2.28,Borehole,No,1.62,3.69,Own consumption only,Yes,Yes,Female,4.0,1935818
658,Northern,Karamoja,Kotido,None,Beans,4.43,River,No,0.69,3.06,Mainly own with some sale,Yes,No,Male,1.7,1202425
659,Northern,Karamoja,Moroto,Primary,Beans,4.51,Rain,No,3.95,17.81,Own consumption only,No,Yes,Male,9.8,1869374
660,Northern,Lango,Lira,Secondary,Matooke,6.39,River,No,4.1,26.2,Own consumption only,No,Yes,Male,10.1,3243510
661,Northern,Acholi,Kitgum,Primary,Rice,6.78,River,Yes,3.07,20.81,Own consumption only,No,No,Male,7.6,1904867
662,Northern,Lango,Lira,Primary,Sweet Potatoes,5.87,Borehole,No,0.65,3.82,Mainly own with some sale,No,Yes,Male,1.6,3386904
663,Western,Kigezi,Kabale,Primary,Cassava,1.71,Borehole,No,3.91,6.69,Own consumption only,No,Yes,Male,9.7,958301
664,Eastern,Bukedi,Tororo,Primary,Coffee,6.59,River,No,0.61,4.02,Own consumption only,No,No,Male,1.5,266214
665,Western,Kigezi,Rukungiri,University,Groundnuts,2.94,River,No,4.89,14.38,Mainly own with some sale,Yes,Yes,Male,12.1,2212087
666,Central,Buganda North,Luwero,Primary,Sweet Potatoes,3.25,Borehole,No,4.28,13.91,Mainly own with some sale,Yes,No,Female,10.6,1342503
667,Northern,Lango,Lira,Secondary,Sorghum,4.65,River,No,2.61,12.14,Mainly own with some sale,No,Yes,Female,6.4,2425419
668,Western,Ankole,Ntungamo,Primary,Matooke,2.32,River,No,4.57,10.6,Own consumption only,Yes,No,Male,11.3,443851
669,Northern,Acholi,Kitgum,Primary,Sorghum,3.13,River,No,4.25,13.3,Own consumption only,Yes,Yes,Male,10.5,823812
670,Western,Ankole,Ntungamo,None,Millet,5.92,Rain,No,4.87,28.83,Mainly own with some sale,Yes,No,Male,12.0,2042628
671,Western,Tooro,Fort Portal,Secondary,Cassava,6.02,Rain,No,2.08,12.52,Mainly own with some sale,Yes,No,Male,5.1,1602879
672,Northern,Acholi,Kitgum,Primary,Coffee,6.53,Borehole,No,1.89,12.34,Mainly own with some sale,Yes,No,Female,4.7,385595
673,Eastern,Busoga,Jinja,Secondary,Millet,3.16,Borehole,No,2.65,8.37,Mainly own with some sale,No,Yes,Male,6.5,1204096
674,Eastern,Busoga,Iganga,Secondary,Sorghum,5.26,River,No,0.21,1.1,Own consumption only,No,Yes,Male,0.5,1549757
675,Western,Kigezi,Rukungiri,None,Rice,1.03,Borehole,No,2.08,2.14,Own consumption only,Yes,No,Male,5.1,3211877
676,Northern,West Nile,Arua,Primary,Maize,4.55,River,No,5.29,24.07,Own consumption only,No,No,Male,13.1,2478476
677,Western,Ankole,Mbarara,Secondary,Maize,4.07,Rain,No,1.94,7.9,Own consumption only,Yes,No,Female,4.8,2580992
678,Eastern,Busoga,Jinja,Primary,Maize,5.58,Borehole,No,0.81,4.52,Own consumption only,No,Yes,Female,2.0,1845994
679,Western,Tooro,Fort Portal,Secondary,Sweet Potatoes,6.41,River,No,2.36,15.13,Mainly own with some sale,No,Yes,Male,5.8,782405
680,Northern,Karamoja,Moroto,Primary,Coffee,2.6,Borehole,No,2.77,7.2,Own consumption only,Yes,Yes,Male,6.8,2553245
681,Northern,West Nile,Nebbi,Primary,Groundnuts,0.41,River,No,3.63,1.49,Own consumption only,Yes,No,Female,9.0,830667
682,Central,Buganda South,Masaka,Primary,Sorghum,0.81,Borehole,No,3.64,2.95,Own consumption only,Yes,No,Male,9.0,1802562
683,Central,Buganda North,Luwero,Secondary,Matooke,2.87,Borehole,No,2.06,5.91,Own consumption only,No,Yes,Male,5.1,2517322
684,Northern,West Nile,Arua,Primary,Beans,4.87,Rain,No,1.35,6.57,Mainly own with some sale,Yes,No,Male,3.3,3181289
685,Western,Kigezi,Kabale,Secondary,Matooke,5.49,Rain,No,4.34,23.83,Own consumption only,No,No,Male,10.7,1758795
686,Northern,Karamoja,Kotido,University,Cassava,3.0,Borehole,No,2.04,6.12,Mainly own with some sale,No,No,Female,5.0,2859236
687,Western,Bunyoro,Hoima,Secondary,Sorghum,2.42,Borehole,No,4.22,10.21,Own consumption only,Yes,No,Male,10.4,2778299
688,Western,Kigezi,Kabale,Primary,Beans,1.6,Borehole,No,2.89,4.62,Mainly own with some sale,No,No,Male,7.1,2359853
689,Western,Bunyoro,Hoima,Secondary,Maize,4.69,River,No,3.03,14.21,Mainly own with some sale,Yes,No,Male,7.5,1920394
690,Central,Buganda South,Wakiso,Secondary,Matooke,0.74,Borehole,Yes,4.57,3.38,Mainly own with some sale,No,No,Male,11.3,936635
691,Northern,Acholi,Pader,Primary,Millet,0.51,Borehole,No,2.49,1.27,Mainly own with some sale,No,No,Male,6.2,3421557
692,Northern,Karamoja,Kotido,Secondary,Cassava,6.43,Rain,No,4.96,31.89,Mainly own with some sale,No,Yes,Female,12.3,2154517
693,Northern,Lango,Lira,Secondary,Rice,2.55,Borehole,Yes,5.49,14.0,Own consumption only,Yes,Yes,Male,13.6,3249404
694,Northern,Acholi,Gulu,Secondary,Millet,6.45,Borehole,No,5.29,34.12,Own consumption only,No,No,Male,13.1,2657743
695,Central,Buganda South,Wakiso,None,Coffee,6.08,Rain,No,0.41,2.49,Mainly own with some sale,Yes,Yes,Male,1.0,2842636
696,Central,Buganda North,Luwero,Primary,Coffee,5.18,Borehole,Yes,2.54,13.16,Mainly own with some sale,No,Yes,Male,6.3,1267374
697,Northern,Lango,Apac,Secondary,Maize,3.36,River,No,2.69,9.04,Own consumption only,No,Yes,Female,6.6,693898
698,Eastern,Busoga,Jinja,Primary,Millet,1.06,Borehole,No,4.78,5.07,Own consumption only,Yes,Yes,Male,11.8,150917
699,Central,Buganda North,Luwero,Primary,Sorghum,5.89,River,No,4.16,24.5,Own consumption only,Yes,No,Male,10.3,2684803
700,Western,Ankole,Ntungamo,Primary,Groundnuts,4.51,River,No,4.33,19.53,Mainly own with some sale,Yes,No,Male,10.7,2383437
701,Western,Tooro,Kabarole,Secondary,Sorghum,4.25,River,No,1.01,4.29,Mainly own with some sale,No,Yes,Male,2.5,2270711
702,Western,Tooro,Kabarole,Secondary,Cassava,0.88,River,No,2.44,2.15,Own consumption only,No,Yes,Female,6.0,1715615
703,Northern,Lango,Lira,None,Coffee,2.28,Rain,Yes,4.11,9.37,Own consumption only,Yes,Yes,Male,10.2,1625790
704,Eastern,Bukedi,Tororo,Primary,Maize,2.61,Rain,No,0.53,1.38,Mainly own with some sale,Yes,Yes,Male,1.3,1640017
705,Western,Ankole,Ntungamo,Primary,Sorghum,1.46,River,No,2.41,3.52,Own consumption only,Yes,No,Female,6.0,2312301
706,Northern,Karamoja,Kotido,Primary,Groundnuts,3.33,Rain,No,5.33,17.75,Mainly own with some sale,No,Yes,Male,13.2,927635
707,Western,Tooro,Kabarole,Secondary,Beans,7.03,River,No,1.8,12.65,Own consumption only,No,Yes,Male,4.4,1063438
708,Eastern,Busoga,Iganga,None,Sorghum,4.56,River,No,3.95,18.01,Mainly own with some sale,No,Yes,Male,9.8,1933611
709,Northern,West Nile,Arua,Primary,Sweet Potatoes,3.35,Borehole,No,4.84,16.21,Mainly own with some sale,No,Yes,Male,12.0,1793608
710,Western,Ankole,Ntungamo,Primary,Cassava,5.66,Borehole,No,3.74,21.17,Mainly own with some sale,Yes,No,Male,9.2,1435076
711,Western,Ankole,Bushenyi,Secondary,Cassava,4.83,Rain,No,2.7,13.04,Mainly own with some sale,No,Yes,Male,6.7,707242
712,Northern,Karamoja,Moroto,University,Millet,6.53,River,No,2.92,19.07,Own consumption only,No,No,Female,7.2,2005797
713,Central,Buganda South,Wakiso,Secondary,Sorghum,6.73,Borehole,No,5.34,35.94,Mainly own with some sale,Yes,No,Female,13.2,2429042
714,Western,Tooro,Kabarole,University,Groundnuts,6.53,Borehole,No,2.35,15.35,Own consumption only,No,No,Male,5.8,1947001
715,Central,Buganda North,Luwero,Secondary,Millet,2.63,River,Yes,4.94,12.99,Own consumption only,Yes,Yes,Male,12.2,357609
716,Central,Buganda South,Wakiso,Secondary,Rice,2.12,River,No,1.52,3.22,Mainly own with some sale,Yes,Yes,Male,3.8,1506256
717,Northern,Acholi,Kitgum,Primary,Cassava,0.95,River,No,2.06,1.96,Own consumption only,No,Yes,Female,5.1,1419670
718,Eastern,Bukedi,Busia,Secondary,Sorghum,5.55,River,No,2.67,14.82,Mainly own with some sale,Yes,Yes,Male,6.6,1888460
719,Northern,West Nile,Arua,Secondary,Cassava,1.48,Rain,No,4.59,6.79,Mainly own with some sale,Yes,Yes,Male,11.3,644955
720,Eastern,Bukedi,Tororo,Secondary,Sweet Potatoes,0.54,River,Yes,0.47,0.25,Mainly own with some sale,Yes,Yes,Male,1.2,896760
721,Eastern,Teso,Soroti,Primary,Maize,1.07,Borehole,No,4.04,4.32,Mainly own with some sale,Yes,Yes,Male,10.0,787790
722,Northern,Acholi,Gulu,Primary,Cassava,4.14,River,No,1.32,5.46,Mainly own with some sale,Yes,Yes,Female,3.3,1531173
723,Eastern,Elgon,Mbale,Primary,Millet,1.92,Borehole,No,4.31,8.28,Mainly own with some sale,Yes,Yes,Male,10.7,731904
724,Western,Bunyoro,Masindi,Secondary,Millet,2.49,Borehole,No,3.8,9.46,Mainly own with some sale,No,Yes,Male,9.4,2167337
725,Western,Tooro,Fort Portal,Primary,Coffee,5.24,River,No,0.25,1.31,Mainly own with some sale,No,No,Male,0.6,1465712
726,Western,Kigezi,Kabale,University,Groundnuts,6.06,River,Yes,2.02,12.24,Mainly own with some sale,Yes,Yes,Male,5.0,887463
727,Eastern,Teso,Soroti,Primary,Beans,2.66,Borehole,No,1.65,4.39,Mainly own with some sale,No,No,Female,4.1,388483
728,Eastern,Elgon,Mbale,None,Maize,6.54,Borehole,No,3.26,21.32,Own consumption only,Yes,No,Male,8.1,418449
729,Eastern,Busoga,Jinja,Primary,Cassava,6.48,Rain,No,4.89,31.69,Mainly own with some sale,No,Yes,Male,12.1,1310152
730,Central,Buganda South,Masaka,Primary,Matooke,1.13,River,No,4.6,5.2,Mainly own with some sale,No,No,Male,11.4,1224477
731,Northern,Karamoja,Moroto,Primary,Cassava,1.1,Borehole,Yes,1.07,1.18,Mainly own with some sale,Yes,No,Male,2.6,2173615
732,Central,Buganda North,Nakaseke,None,Cassava,4.17,Borehole,No,2.38,9.92,Own consumption only,No,Yes,Male,5.9,1066004
733,Eastern,Elgon,Mbale,None,Beans,4.34,Rain,No,0.69,2.99,Own consumption only,No,Yes,Male,1.7,3267899
734,Eastern,Busoga,Jinja,Primary,Sorghum,4.22,River,No,1.11,4.68,Own consumption only,Yes,No,Male,2.7,3390609
735,Eastern,Busoga,Jinja,Primary,Groundnuts,0.49,Rain,No,0.81,0.4,Own consumption only,Yes,Yes,Male,2.0,1363865
736,Eastern,Bukedi,Tororo,Primary,Groundnuts,0.83,River,No,4.15,3.44,Own consumption only,No,No,Male,10.3,2755221
737,Northern,Acholi,Pader,Primary,Groundnuts,6.6,Rain,No,2.1,13.86,Own consumption only,Yes,Yes,Male,5.2,2518756
738,Eastern,Elgon,Kapchorwa,None,Cassava,1.12,Rain,No,5.14,5.76,Own consumption only,Yes,No,Male,12.7,519349
739,Northern,Lango,Lira,University,Cassava,7.0,Borehole,No,3.68,25.76,Own consumption only,Yes,Yes,Male,9.1,2860864
740,Central,Buganda North,Nakaseke,University,Groundnuts,4.1,Rain,No,2.08,8.53,Own consumption only,Yes,No,Male,5.1,1891599
