ID,Region,District,Education,Yield,Age,Gender,Income,Water_Source,Crop,Year,Farm_Size_acres,Fertilizer_Use,Household_Size,Refugee_Status,Protection_Needs,Disease,Health_Facility,ANC_Visits,Latrine_Type,Water_Distance_min,Handwashing,Main_Income,Food_Months,Savings_UGX,Coping_Strategy,GBV_Case_Type,Survivor_Gender,Support_Received,Referred,Item_Code,Item_Name,Stock,Location,KPI,Baseline,Target,Achieved,Research_Title,Methodology,P_Value,Findings
444,Western,Mbarara,Secondary,4.8735651431867,58,Female,878387,Tap,Maize,2022,,,11.0,Host,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Western,Lira,Secondary,5.914527068193732,24,Female,651069,River,Maize,2022,,,9.0,Refugee,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Northern,Lira,Secondary,3.1406144561908595,49,Male,267359,River,Cassava,2022,,,9.0,Host,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Northern,Gulu,Primary,2.880358530383916,21,Male,403460,Borehole,Cassava,2024,,,2.0,Refugee,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
448,Eastern,Arua,Secondary,2.0261787437653025,37,Male,1525831,River,Beans,2022,,,9.0,Refugee,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Northern,Gulu,Secondary,2.883044425903142,53,Female,1411960,Tap,Beans,2024,,,3.0,Refugee,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Eastern,Lira,University,6.725146614065153,49,Male,984681,Borehole,Maize,2022,,,7.0,Refugee,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Eastern,Lira,University,7.2182066127545355,45,Male,486305,Well,Coffee,2023,,,2.0,Refugee,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Eastern,Kampala,Secondary,4.098184257970431,30,Male,1105352,Borehole,Maize,2023,,,6.0,Host,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Eastern,Lira,Secondary,3.632807581187322,18,Female,1091255,Tap,Beans,2024,,,8.0,Refugee,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Eastern,Kampala,Secondary,3.8105821225069625,52,Male,1379042,Borehole,Coffee,2023,,,11.0,Refugee,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Central,Arua,None,2.5694409764241044,47,Female,529457,Borehole,Cassava,2024,,,2.0,Host,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Northern,Gulu,University,6.4159678221198595,53,Male,381446,Tap,Beans,2024,,,3.0,Refugee,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Eastern,Gulu,University,8.549241622043528,42,Male,617230,Borehole,Beans,2023,,,8.0,Refugee,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Western,Kampala,Secondary,4.9940170735411336,33,Male,1853172,Borehole,Coffee,2024,,,7.0,Host,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Northern,Gulu,Primary,2.9575373461482304,36,Female,611377,Tap,Beans,2023,,,4.0,Host,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Northern,Lira,Primary,1.3064030896790044,18,Male,1880664,River,Beans,2022,,,11.0,Host,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Eastern,Mbarara,Secondary,5.135238161399627,22,Male,1649282,Tap,Beans,2022,,,3.0,Refugee,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Central,Kampala,None,0.7062294222515006,39,Female,581691,Borehole,Beans,2023,,,11.0,Host,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Eastern,Gulu,University,5.6055602419943,41,Female,962557,Well,Beans,2023,,,5.0,Host,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
464,Central,Kampala,None,1.7128436130793774,60,Female,1273078,Well,Beans,2023,,,4.0,Host,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Western,Kampala,Primary,1.1120539394334603,62,Male,235757,Tap,Beans,2023,,,8.0,Refugee,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Northern,Mbarara,University,6.037758537870418,54,Female,822561,Well,Beans,2022,,,9.0,Host,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
467,Western,Lira,Secondary,4.189884088531088,53,Male,782933,Borehole,Cassava,2024,,,3.0,Refugee,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
468,Central,Kampala,Primary,4.7184214241147275,53,Female,1096650,Borehole,Beans,2024,,,11.0,Refugee,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Central,Gulu,Primary,1.8130842442075124,21,Female,521199,Tap,Cassava,2022,,,8.0,Host,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Western,Arua,None,0.7417834806994246,53,Female,1368391,Borehole,Cassava,2024,,,9.0,Refugee,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Central,Kampala,Secondary,4.932345054421646,35,Male,1126502,River,Maize,2022,,,7.0,Refugee,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Western,Kampala,None,0.2,33,Male,1932842,Borehole,Maize,2024,,,7.0,Host,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Northern,Mbarara,Secondary,4.6428063810209155,58,Male,1611746,Tap,Cassava,2023,,,11.0,Refugee,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
474,Western,Lira,University,8.005926807616587,35,Male,532336,River,Cassava,2023,,,2.0,Host,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Northern,Arua,Primary,2.1929051152888985,39,Male,381549,River,Beans,2023,,,5.0,Refugee,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
476,Western,Gulu,University,7.826154281396866,19,Male,367973,Well,Maize,2022,,,2.0,Refugee,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
477,Central,Arua,University,7.0914499232118064,38,Male,946631,Borehole,Coffee,2022,,,5.0,Host,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
478,Western,Gulu,None,0.46931803619621937,53,Male,1300597,Tap,Maize,2024,,,3.0,Host,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
479,Central,Lira,University,6.6021953141034935,61,Male,229092,Well,Cassava,2024,,,6.0,Refugee,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
480,Western,Gulu,Secondary,3.8202426600197583,56,Female,1118746,Well,Cassava,2024,,,11.0,Refugee,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
481,Western,Mbarara,University,6.712361742183522,64,Female,1617563,Borehole,Beans,2022,,,10.0,Host,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
482,Eastern,Mbarara,Secondary,4.3527178992198285,56,Male,857191,Borehole,Beans,2024,,,11.0,Refugee,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
483,Central,Mbarara,Secondary,4.788199934971857,46,Male,512865,Tap,Maize,2023,,,4.0,Refugee,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
484,Eastern,Mbarara,Secondary,4.708668249587136,43,Male,490655,Well,Beans,2024,,,9.0,Refugee,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
485,Central,Arua,University,4.368286428737852,38,Male,272782,Tap,Coffee,2023,,,4.0,Refugee,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
486,Eastern,Lira,Secondary,4.102691811227974,34,Female,1083435,Well,Coffee,2022,,,7.0,Host,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
487,Northern,Gulu,Secondary,2.690578086593238,33,Female,1612782,Well,Beans,2023,,,5.0,Host,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Western,Gulu,University,6.524272747532674,48,Male,1562227,Well,Coffee,2023,,,9.0,Host,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
489,Central,Mbarara,Primary,2.37621041218908,26,Female,1897141,Borehole,Coffee,2023,,,7.0,Host,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
490,Central,Mbarara,Primary,3.476148358084709,48,Female,1902863,Well,Maize,2022,,,9.0,Host,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
491,Western,Kampala,Primary,2.4698845328999006,31,Male,407580,Well,Coffee,2022,,,2.0,Host,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
492,Central,Lira,Primary,2.75921801834326,54,Male,969032,Well,Cassava,2022,,,7.0,Refugee,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
493,Central,Arua,Primary,3.293056380657429,19,Male,1872992,River,Cassava,2022,,,2.0,Host,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
494,Eastern,Gulu,University,8.0277522598193,63,Male,1521403,Borehole,Maize,2024,,,2.0,Refugee,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
495,Central,Kampala,Primary,2.3769860766430897,31,Female,747952,River,Beans,2022,,,9.0,Refugee,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
496,Northern,Kampala,Secondary,4.294179441680409,50,Male,1875228,Borehole,Maize,2023,,,8.0,Refugee,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
497,Northern,Gulu,Primary,2.510023302242254,52,Female,364244,Tap,Beans,2022,,,4.0,Host,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
498,Western,Arua,University,6.257401035568924,56,Male,676857,River,Beans,2024,,,7.0,Refugee,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
499,Central,Kampala,University,6.03088477655761,64,Female,1312916,Tap,Beans,2024,,,10.0,Host,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
500,Western,Kampala,Secondary,1.9281140835740649,37,Male,1860100,Well,Beans,2024,,,8.0,Refugee,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
501,Northern,Lira,University,5.72333906547567,19,Male,211017,Tap,Beans,2023,,,4.0,Refugee,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
502,Central,Arua,None,0.2,58,Female,1203634,Tap,Maize,2022,,,7.0,Host,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
503,Central,Kampala,University,8.055198484453252,36,Female,1194424,Tap,Beans,2022,,,5.0,Refugee,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
504,Western,Arua,Primary,2.688416008297428,54,Female,754636,Tap,Coffee,2022,,,4.0,Refugee,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
505,Northern,Gulu,University,6.674061027053166,35,Male,1658240,Borehole,Coffee,2023,,,10.0,Refugee,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
506,Central,Mbarara,None,0.48251481391891826,33,Female,471635,River,Beans,2023,,,11.0,Refugee,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Western,Kampala,Secondary,4.229779263234624,21,Female,409720,Borehole,Coffee,2024,,,3.0,Host,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
508,Northern,Lira,Secondary,3.352020122344666,29,Female,321070,Borehole,Cassava,2024,,,2.0,Refugee,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
509,Western,Gulu,Primary,2.6740185566206036,46,Female,1118472,Borehole,Maize,2022,,,3.0,Refugee,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
510,Eastern,Arua,Primary,2.7457339829213536,24,Female,462512,Tap,Maize,2023,,,8.0,Host,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
511,Central,Gulu,None,0.3386162976432562,31,Female,235010,Borehole,Beans,2023,,,11.0,Refugee,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
512,Eastern,Kampala,Primary,1.619538035177594,29,Female,1808715,River,Beans,2022,,,2.0,Refugee,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Northern,Arua,Secondary,5.162199354595118,52,Female,1895625,Borehole,Cassava,2022,,,7.0,Refugee,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
514,Eastern,Mbarara,Primary,2.4471400457086996,22,Female,978928,Well,Beans,2024,,,8.0,Refugee,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
515,Eastern,Gulu,Primary,1.7189795707351094,34,Male,1934872,Tap,Coffee,2024,,,10.0,Host,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
516,Northern,Kampala,None,0.8294936983104809,59,Male,1851722,Well,Cassava,2024,,,9.0,Refugee,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
517,Western,Lira,University,5.789405913293392,49,Female,791293,River,Coffee,2022,,,7.0,Host,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
518,Eastern,Arua,Primary,2.4328164193380832,27,Male,237493,River,Maize,2022,,,4.0,Refugee,Food,,,,,,,,,,,,,,,,,,,,,,,,,,
519,Western,Gulu,Primary,3.3316283076644684,60,Male,925155,River,Coffee,2024,,,9.0,Refugee,Shelter,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Eastern,Gulu,None,1.1723293324057387,34,Female,1940326,River,Maize,2024,,,8.0,Refugee,Health,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Northern,Gulu,Primary,3.686387412215288,27,Male,1263597,Tap,Maize,2022,,,,,,Diarrhea,Hospital,1.0,,,,,,,,,,,,,,,,,,,,,,,
2,Western,Mbarara,Secondary,3.9636471660756407,23,Female,1973799,River,Maize,2023,,,,,,Diarrhea,HCIII,0.0,,,,,,,,,,,,,,,,,,,,,,,
3,Central,Gulu,Primary,1.3145799953196888,22,Male,648781,Borehole,Cassava,2023,,,,,,Malnutrition,HCII,7.0,,,,,,,,,,,,,,,,,,,,,,,
4,Northern,Gulu,University,6.401107507746449,23,Male,641259,River,Coffee,2024,,,,,,Malnutrition,HCII,3.0,,,,,,,,,,,,,,,,,,,,,,,
5,Northern,Gulu,None,1.9704252171166425,64,Male,928510,Tap,Beans,2022,,,,,,Diarrhea,HCII,2.0,,,,,,,,,,,,,,,,,,,,,,,
6,Western,Kampala,Primary,3.176770270716955,42,Male,264361,Borehole,Cassava,2022,,,,,,Malnutrition,HCII,6.0,,,,,,,,,,,,,,,,,,,,,,,
7,Central,Kampala,Primary,3.018639647613567,21,Female,996787,Borehole,Coffee,2022,,,,,,Diarrhea,HCII,4.0,,,,,,,,,,,,,,,,,,,,,,,
8,Central,Kampala,Secondary,3.575293276837897,57,Female,1347417,Borehole,Coffee,2024,,,,,,Diarrhea,HCIII,5.0,,,,,,,,,,,,,,,,,,,,,,,
9,Northern,Mbarara,University,7.551902618032698,49,Male,904364,Borehole,Cassava,2023,,,,,,Diarrhea,Hospital,2.0,,,,,,,,,,,,,,,,,,,,,,,
10,Eastern,Lira,None,2.176899078037066,52,Male,1494876,Tap,Cassava,2024,,,,,,Malaria,HCIII,7.0,,,,,,,,,,,,,,,,,,,,,,,
11,Northern,Gulu,University,6.104578370110024,27,Male,360786,Borehole,Maize,2023,,,,,,Malaria,HCIII,6.0,,,,,,,,,,,,,,,,,,,,,,,
12,Northern,Gulu,None,1.1584299024574753,51,Female,741486,Well,Maize,2024,,,,,,Malnutrition,HCII,2.0,,,,,,,,,,,,,,,,,,,,,,,
13,Northern,Mbarara,University,8.820401963682112,53,Male,529095,Well,Maize,2023,,,,,,Diarrhea,HCIII,1.0,,,,,,,,,,,,,,,,,,,,,,,
14,Northern,Gulu,None,0.4601257235366124,23,Female,1119156,River,Beans,2022,,,,,,Malaria,HCII,6.0,,,,,,,,,,,,,,,,,,,,,,,
15,Western,Kampala,None,0.2,60,Female,1685417,Borehole,Cassava,2022,,,,,,Malnutrition,HCIII,4.0,,,,,,,,,,,,,,,,,,,,,,,
16,Central,Lira,Secondary,5.582904434464799,63,Female,1507042,Well,Coffee,2022,,,,,,Malnutrition,HCII,7.0,,,,,,,,,,,,,,,,,,,,,,,
17,Western,Arua,University,7.93660477170456,33,Female,1727774,Well,Cassava,2024,,,,,,Malnutrition,HCII,5.0,,,,,,,,,,,,,,,,,,,,,,,
18,Western,Gulu,University,6.343032676422575,36,Male,1791604,Well,Coffee,2024,,,,,,Malnutrition,HCIII,7.0,,,,,,,,,,,,,,,,,,,,,,,
19,Western,Kampala,Secondary,4.087008218131913,51,Male,1514530,Tap,Beans,2024,,,,,,Malnutrition,HCIII,0.0,,,,,,,,,,,,,,,,,,,,,,,
20,Northern,Arua,University,5.575064949811048,42,Female,1110175,Borehole,Cassava,2022,,,,,,Diarrhea,Hospital,0.0,,,,,,,,,,,,,,,,,,,,,,,
21,Eastern,Lira,None,1.288952272609702,48,Male,1134073,Tap,Coffee,2023,,,,,,Malnutrition,Hospital,2.0,,,,,,,,,,,,,,,,,,,,,,,
22,Central,Arua,University,7.9659137153714,58,Male,1506884,Tap,Coffee,2022,,,,,,Diarrhea,Hospital,6.0,,,,,,,,,,,,,,,,,,,,,,,
23,Eastern,Kampala,Secondary,3.657395158241722,34,Male,1348431,Well,Maize,2022,,,,,,Malaria,HCIII,2.0,,,,,,,,,,,,,,,,,,,,,,,
24,Western,Arua,Secondary,5.077101978786293,64,Female,934480,Well,Beans,2023,,,,,,Malnutrition,HCIII,3.0,,,,,,,,,,,,,,,,,,,,,,,
25,Western,Mbarara,University,7.263723857390432,47,Male,321701,River,Cassava,2023,,,,,,Malaria,HCII,4.0,,,,,,,,,,,,,,,,,,,,,,,
26,Eastern,Arua,Secondary,4.77781689088114,56,Male,692281,Borehole,Maize,2023,,,,,,Diarrhea,Hospital,5.0,,,,,,,,,,,,,,,,,,,,,,,
27,Eastern,Gulu,Secondary,3.715690819413632,48,Male,1588767,Borehole,Beans,2023,,,,,,Diarrhea,HCII,2.0,,,,,,,,,,,,,,,,,,,,,,,
28,Eastern,Gulu,Secondary,3.8453758170665058,36,Male,1359347,Well,Maize,2022,,,,,,Malaria,HCII,3.0,,,,,,,,,,,,,,,,,,,,,,,
29,Western,Mbarara,University,4.953227565528598,52,Male,1254739,Well,Cassava,2024,,,,,,Malnutrition,HCII,6.0,,,,,,,,,,,,,,,,,,,,,,,
30,Western,Kampala,Primary,1.9333305874898943,46,Male,1180591,Borehole,Coffee,2022,,,,,,Malnutrition,HCII,4.0,,,,,,,,,,,,,,,,,,,,,,,
31,Central,Gulu,University,7.963485458031259,18,Male,1048503,River,Cassava,2023,,,,,,Malaria,Hospital,5.0,,,,,,,,,,,,,,,,,,,,,,,
32,Central,Lira,Secondary,3.2706678058977268,21,Male,1264641,Well,Beans,2024,,,,,,Malaria,HCII,0.0,,,,,,,,,,,,,,,,,,,,,,,
33,Western,Gulu,Primary,1.7196983461430952,45,Male,1633043,River,Cassava,2024,,,,,,Malaria,HCIII,3.0,,,,,,,,,,,,,,,,,,,,,,,
34,Eastern,Gulu,Secondary,4.840189823707124,35,Male,1104401,Tap,Beans,2022,,,,,,Malnutrition,HCIII,6.0,,,,,,,,,,,,,,,,,,,,,,,
35,Eastern,Kampala,Secondary,4.602768291993094,43,Female,545600,Well,Maize,2022,,,,,,Malnutrition,HCIII,4.0,,,,,,,,,,,,,,,,,,,,,,,
36,Central,Arua,Secondary,4.889863249796301,57,Male,697721,Tap,Beans,2022,,,,,,Malnutrition,Hospital,3.0,,,,,,,,,,,,,,,,,,,,,,,
37,Western,Gulu,Secondary,3.0367794599095963,36,Female,448924,Well,Coffee,2024,,,,,,Malaria,HCII,2.0,,,,,,,,,,,,,,,,,,,,,,,
38,Central,Mbarara,None,3.764057949300346,23,Male,903708,Tap,Coffee,2024,,,,,,Malnutrition,Hospital,1.0,,,,,,,,,,,,,,,,,,,,,,,
39,Central,Arua,Secondary,2.98424662583275,18,Female,744517,Well,Coffee,2024,,,,,,Diarrhea,HCII,0.0,,,,,,,,,,,,,,,,,,,,,,,
40,Northern,Lira,University,6.954247313734068,25,Female,1563307,River,Maize,2023,,,,,,Malaria,Hospital,2.0,,,,,,,,,,,,,,,,,,,,,,,
41,Northern,Kampala,Primary,2.3413445041314134,50,Male,1560433,River,Beans,2023,,,,,,Malnutrition,Hospital,2.0,,,,,,,,,,,,,,,,,,,,,,,
42,Northern,Lira,Secondary,3.0133584826349527,60,Female,1930933,River,Maize,2022,,,,,,Malaria,HCII,6.0,,,,,,,,,,,,,,,,,,,,,,,
43,Eastern,Arua,Primary,2.1297905771867502,38,Female,745389,Tap,Cassava,2024,,,,,,Diarrhea,Hospital,6.0,,,,,,,,,,,,,,,,,,,,,,,
44,Western,Arua,Secondary,4.22330760088587,41,Female,1813255,River,Cassava,2022,,,,,,Diarrhea,HCII,4.0,,,,,,,,,,,,,,,,,,,,,,,
45,Western,Arua,Secondary,3.55002678813653,42,Male,406935,Tap,Cassava,2024,,,,,,Malaria,HCIII,6.0,,,,,,,,,,,,,,,,,,,,,,,
46,Western,Lira,Secondary,5.137223621534849,64,Female,1321299,Well,Cassava,2022,,,,,,Malaria,HCIII,3.0,,,,,,,,,,,,,,,,,,,,,,,
47,Western,Arua,Primary,2.338374254537529,60,Female,1474869,Tap,Coffee,2023,,,,,,Diarrhea,HCIII,0.0,,,,,,,,,,,,,,,,,,,,,,,
48,Northern,Lira,Secondary,2.8587253289817136,36,Male,390477,Well,Beans,2024,,,,,,Malaria,Hospital,2.0,,,,,,,,,,,,,,,,,,,,,,,
49,Eastern,Arua,None,0.2,46,Female,1414596,Borehole,Coffee,2023,,,,,,Diarrhea,HCIII,4.0,,,,,,,,,,,,,,,,,,,,,,,
50,Eastern,Mbarara,Primary,3.106165090611456,27,Female,500065,Borehole,Beans,2024,,,,,,Diarrhea,HCII,7.0,,,,,,,,,,,,,,,,,,,,,,,
51,Northern,Arua,None,0.2,29,Female,1714363,Borehole,Beans,2022,,,,,,Malnutrition,HCIII,7.0,,,,,,,,,,,,,,,,,,,,,,,
52,Eastern,Lira,Primary,2.8164260730490835,50,Male,670223,Tap,Maize,2024,,,,,,Malaria,HCIII,0.0,,,,,,,,,,,,,,,,,,,,,,,
53,Northern,Gulu,Secondary,4.644655185666959,24,Female,1759750,Borehole,Cassava,2023,,,,,,Malaria,Hospital,6.0,,,,,,,,,,,,,,,,,,,,,,,
54,Western,Arua,Secondary,3.204644636075983,34,Male,614287,Borehole,Beans,2024,,,,,,Malnutrition,HCII,6.0,,,,,,,,,,,,,,,,,,,,,,,
55,Northern,Gulu,Secondary,5.090738083774891,27,Female,921478,Borehole,Cassava,2022,,,,,,Diarrhea,Hospital,3.0,,,,,,,,,,,,,,,,,,,,,,,
56,Western,Mbarara,Primary,0.7822063762383678,48,Female,379354,Well,Cassava,2024,,,,,,Malaria,Hospital,6.0,,,,,,,,,,,,,,,,,,,,,,,
57,Western,Kampala,University,7.096458933998559,23,Female,1864589,River,Cassava,2023,,,,,,Malnutrition,HCII,7.0,,,,,,,,,,,,,,,,,,,,,,,
58,Central,Mbarara,Secondary,4.159142066403992,34,Female,520589,Tap,Coffee,2022,,,,,,Malnutrition,Hospital,2.0,,,,,,,,,,,,,,,,,,,,,,,
59,Northern,Arua,Secondary,4.0810020242691065,54,Male,936427,Borehole,Cassava,2023,,,,,,Malaria,HCII,7.0,,,,,,,,,,,,,,,,,,,,,,,
60,Central,Gulu,University,5.622103357019427,35,Female,1592928,Well,Beans,2024,,,,,,Malnutrition,HCIII,5.0,,,,,,,,,,,,,,,,,,,,,,,
61,Northern,Gulu,University,5.862977995600074,43,Male,1696608,River,Coffee,2023,,,,,,Diarrhea,HCII,2.0,,,,,,,,,,,,,,,,,,,,,,,
62,Northern,Lira,Primary,4.118802025020598,33,Female,1617003,River,Cassava,2024,,,,,,Malnutrition,HCII,2.0,,,,,,,,,,,,,,,,,,,,,,,
63,Central,Gulu,Primary,3.7151550088717538,25,Male,285779,River,Maize,2022,,,,,,Diarrhea,HCII,6.0,,,,,,,,,,,,,,,,,,,,,,,
64,Central,Lira,University,7.542084588523799,41,Female,1251636,Well,Cassava,2023,,,,,,Diarrhea,Hospital,0.0,,,,,,,,,,,,,,,,,,,,,,,
65,Northern,Kampala,Secondary,5.139848103529688,30,Female,850094,Borehole,Cassava,2023,,,,,,Malaria,HCII,6.0,,,,,,,,,,,,,,,,,,,,,,,
66,Eastern,Arua,None,2.046013544671269,46,Male,1524451,River,Coffee,2024,,,,,,Malnutrition,HCII,0.0,,,,,,,,,,,,,,,,,,,,,,,
67,Western,Lira,Secondary,3.8766437877137916,49,Male,539974,Well,Beans,2023,,,,,,Diarrhea,HCII,0.0,,,,,,,,,,,,,,,,,,,,,,,
68,Central,Kampala,University,6.847603551814351,41,Male,1888735,Well,Cassava,2023,,,,,,Diarrhea,HCIII,7.0,,,,,,,,,,,,,,,,,,,,,,,
69,Western,Gulu,Secondary,2.7274916219589915,33,Male,745007,Tap,Coffee,2022,,,,,,Malnutrition,HCII,0.0,,,,,,,,,,,,,,,,,,,,,,,
70,Eastern,Gulu,Secondary,4.110304373192474,28,Female,1821980,Well,Coffee,2024,,,,,,Diarrhea,Hospital,4.0,,,,,,,,,,,,,,,,,,,,,,,
71,Eastern,Kampala,University,7.983414249539186,49,Male,1763159,River,Beans,2024,,,,,,Malnutrition,HCII,1.0,,,,,,,,,,,,,,,,,,,,,,,
72,Eastern,Gulu,Primary,1.8392927517428643,23,Male,750613,River,Coffee,2022,,,,,,Malaria,HCII,6.0,,,,,,,,,,,,,,,,,,,,,,,
73,Central,Kampala,Primary,3.523141204687226,52,Male,1140101,Well,Beans,2022,,,,,,Diarrhea,HCIII,4.0,,,,,,,,,,,,,,,,,,,,,,,
74,Eastern,Lira,Secondary,4.2915857386937635,50,Female,1184943,River,Maize,2024,,,,,,Diarrhea,HCII,2.0,,,,,,,,,,,,,,,,,,,,,,,
75,Central,Lira,University,5.414628134330267,35,Female,1263127,Well,Cassava,2022,,,,,,Malnutrition,Hospital,4.0,,,,,,,,,,,,,,,,,,,,,,,
76,Eastern,Kampala,Primary,1.3926804866536884,54,Female,555431,River,Coffee,2022,,,,,,Malnutrition,HCII,3.0,,,,,,,,,,,,,,,,,,,,,,,
77,Western,Lira,Secondary,5.119302869707755,30,Female,1534998,Tap,Maize,2022,,,,,,Malnutrition,Hospital,5.0,,,,,,,,,,,,,,,,,,,,,,,
78,Western,Lira,Secondary,4.752524085258385,27,Male,684405,Borehole,Coffee,2024,,,,,,Malnutrition,HCIII,0.0,,,,,,,,,,,,,,,,,,,,,,,
79,Northern,Lira,Secondary,4.301764072987625,54,Female,215141,Tap,Coffee,2022,,,,,,Diarrhea,HCII,6.0,,,,,,,,,,,,,,,,,,,,,,,
80,Western,Mbarara,Secondary,3.9259681857520548,43,Male,530057,Tap,Maize,2023,,,,,,Malaria,HCIII,3.0,,,,,,,,,,,,,,,,,,,,,,,
81,Northern,Arua,University,7.010567977628585,63,Female,1020047,Borehole,Coffee,2023,,,,,,Malaria,HCII,6.0,,,,,,,,,,,,,,,,,,,,,,,
82,Western,Gulu,Secondary,5.080296249253249,34,Male,1894922,River,Coffee,2024,,,,,,Malaria,Hospital,7.0,,,,,,,,,,,,,,,,,,,,,,,
83,Central,Mbarara,Secondary,5.675853280487285,18,Male,918111,Borehole,Maize,2022,,,,,,Malaria,HCIII,5.0,,,,,,,,,,,,,,,,,,,,,,,
84,Western,Lira,Secondary,5.723684199440605,42,Male,1885548,Well,Coffee,2023,,,,,,Malnutrition,HCII,3.0,,,,,,,,,,,,,,,,,,,,,,,
85,Northern,Kampala,Secondary,4.571959900758499,51,Male,489596,Borehole,Beans,2024,,,,,,Diarrhea,Hospital,6.0,,,,,,,,,,,,,,,,,,,,,,,
86,Northern,Lira,Primary,2.3280683096354795,56,Male,1664517,Tap,Coffee,2023,,,,,,Diarrhea,HCIII,2.0,,,,,,,,,,,,,,,,,,,,,,,
87,Eastern,Arua,Primary,2.6462480078188557,27,Female,774679,Borehole,Cassava,2022,,,,,,Diarrhea,HCII,0.0,,,,,,,,,,,,,,,,,,,,,,,
