ID,Region,District,Education,Yield,Age,Gender,Income,Water_Source,Crop,Year,Main_Income,Food_Months,Savings_UGX,Coping_Strategy
249,Central,Mbarara,Primary,5.641966977287799,35,Male,1949153,River,Beans,2022,Business,11,475252,None
250,Northern,Lira,University,6.8330270429657975,60,Male,1272231,Tap,Beans,2022,Farming,6,366233,None
251,Eastern,Arua,Primary,0.8693266325847357,45,Female,1737676,Tap,Maize,2024,Farming,4,72043,None
252,Central,Mbarara,None,1.370970971568219,55,Female,1981926,Tap,Beans,2024,Business,3,491338,Borrow
253,Western,Gulu,University,4.38354823478751,58,Male,343659,Tap,Cassava,2024,Farming,5,386678,Reduce Meals
254,Central,Gulu,Primary,1.9668960751354865,61,Female,752359,Borehole,Cassava,2023,Business,5,399046,Borrow
255,Central,Mbarara,Secondary,5.824382058600213,36,Male,1372017,Borehole,Cassava,2023,Farming,7,161680,Reduce Meals
256,Northern,Mbarara,Primary,2.8251336486317715,63,Male,1607858,Well,Beans,2024,Casual,3,365009,Borrow
257,Northern,Lira,University,6.979416812831269,64,Male,1559871,River,Beans,2022,Farming,9,386822,Borrow
258,Eastern,Lira,Primary,4.320780376715357,60,Male,726491,River,Beans,2022,Farming,3,309431,Reduce Meals
259,Western,Gulu,University,6.52940010833663,55,Female,1393283,Well,Maize,2024,Casual,6,483263,Borrow
260,Northern,Arua,Secondary,5.4618204129341095,63,Male,1432219,Well,Cassava,2022,Business,8,33427,Borrow
261,Central,Gulu,Primary,2.6293069751663403,20,Male,1905080,Well,Coffee,2022,Farming,3,477258,None
262,Eastern,Arua,Secondary,4.580047463459026,36,Female,1674491,Borehole,Coffee,2023,Farming,9,159467,Reduce Meals
263,Central,Arua,University,5.582695144136987,37,Male,1988555,Well,Beans,2022,Casual,9,391993,Reduce Meals
264,Central,Lira,Secondary,3.717953205171783,42,Female,1602383,River,Maize,2022,Casual,5,371983,None
265,Northern,Kampala,Primary,1.1024817671561264,28,Male,1640564,Well,Beans,2024,Casual,6,354806,Reduce Meals
266,Eastern,Kampala,Secondary,4.104754921774655,34,Male,1522933,Tap,Coffee,2023,Casual,8,226074,None
267,Western,Mbarara,Secondary,4.590402343916267,52,Male,216944,River,Cassava,2023,Business,9,280114,Reduce Meals
268,Western,Lira,Secondary,3.089961894908548,31,Male,1839587,River,Coffee,2022,Farming,6,70218,Reduce Meals
269,Northern,Arua,Secondary,6.249178922684823,56,Female,399741,River,Cassava,2024,Farming,11,207547,Reduce Meals
270,Northern,Kampala,Secondary,4.478106019091961,36,Male,268947,Borehole,Cassava,2023,Farming,11,336506,Reduce Meals
271,Eastern,Arua,Primary,2.5577955855852195,20,Female,1414105,Borehole,Maize,2023,Farming,11,154443,None
272,Western,Kampala,Secondary,4.9696577513456255,51,Female,1744503,River,Coffee,2022,Business,8,488698,None
273,Western,Kampala,Secondary,3.3710719191340783,58,Female,235191,Tap,Beans,2023,Farming,4,220967,Reduce Meals
274,Western,Kampala,Primary,2.663477479167453,39,Male,447129,River,Maize,2024,Business,4,412482,Borrow
275,Central,Lira,University,6.0831337796424085,55,Female,1770965,Borehole,Cassava,2024,Business,6,234625,None
276,Western,Gulu,Secondary,5.758679910088983,44,Female,1500343,Tap,Coffee,2023,Casual,11,150267,Reduce Meals
277,Central,Arua,Secondary,3.141360650602919,38,Female,272264,River,Beans,2024,Casual,5,110949,None
278,Eastern,Lira,University,6.863165459307173,58,Male,388996,Borehole,Maize,2024,Farming,8,126895,Borrow
279,Central,Lira,Secondary,4.529315785151776,48,Male,1675536,Tap,Beans,2022,Business,4,289459,Borrow
280,Eastern,Lira,University,7.1948257444077015,44,Female,1695216,Well,Coffee,2023,Casual,3,251287,Borrow
281,Western,Lira,Secondary,3.618764826917168,54,Female,681633,Well,Beans,2023,Business,7,83804,Reduce Meals
282,Western,Lira,None,0.3044905978549022,19,Male,409409,River,Maize,2022,Casual,10,206318,Reduce Meals
283,Eastern,Mbarara,Secondary,3.633204826953901,64,Female,1717876,Well,Beans,2022,Business,4,303725,Borrow
284,Northern,Arua,Secondary,4.728325434210283,26,Female,1674678,Borehole,Coffee,2022,Farming,11,176609,None
285,Eastern,Lira,Secondary,4.056154229088037,36,Female,1610566,Tap,Maize,2022,Farming,10,472913,None
286,Northern,Arua,Primary,3.2962088084525214,59,Male,809251,River,Cassava,2024,Business,5,97357,Borrow
287,Central,Mbarara,Primary,2.977003719395073,53,Female,1609939,Tap,Maize,2024,Casual,3,381905,Reduce Meals
288,Central,Mbarara,Primary,0.22308730190039228,27,Female,337693,Tap,Coffee,2022,Casual,6,206337,None
289,Central,Arua,Primary,2.747497796837211,57,Male,422621,Tap,Beans,2023,Farming,10,113984,None
290,Western,Kampala,Secondary,6.45045476781627,62,Female,1298314,Borehole,Cassava,2023,Farming,5,354593,None
291,Central,Gulu,Primary,3.8252690510383314,56,Male,388766,River,Cassava,2023,Farming,4,251176,Reduce Meals
292,Northern,Kampala,Secondary,4.6220131607069685,24,Male,1525250,Well,Beans,2022,Casual,9,153256,Borrow
293,Central,Kampala,Secondary,3.140607869530056,21,Male,338426,Tap,Coffee,2024,Casual,6,416495,Reduce Meals
294,Eastern,Kampala,Secondary,4.677553716125646,32,Female,1089327,Tap,Maize,2024,Farming,8,157642,None
295,Eastern,Lira,University,7.539749939878259,29,Female,419831,Tap,Coffee,2024,Business,7,130522,Borrow
296,Western,Mbarara,Secondary,3.946253319172416,23,Female,324750,Borehole,Cassava,2024,Casual,4,305174,Reduce Meals
297,Eastern,Kampala,Secondary,4.516742058804438,26,Female,1158736,Well,Maize,2023,Farming,4,324389,Borrow
298,Northern,Mbarara,Secondary,5.709662458396041,52,Female,1693871,Tap,Maize,2023,Business,11,186539,None
299,Central,Arua,Primary,1.6427255802582743,25,Female,1893747,Borehole,Beans,2024,Casual,4,250690,Reduce Meals
300,Western,Gulu,University,5.741700395040873,24,Female,1392198,Borehole,Coffee,2022,Business,10,35133,Borrow
301,Central,Arua,Primary,3.1926993259942127,21,Female,1505967,Tap,Maize,2024,Business,10,209803,Reduce Meals
302,Central,Arua,None,1.6575426361980803,30,Male,1598916,Tap,Beans,2024,Casual,3,437021,None
303,Northern,Lira,Secondary,5.228838295412812,36,Female,1571105,Borehole,Coffee,2022,Farming,3,43998,Borrow
304,Eastern,Gulu,None,1.7697938119037695,24,Female,1051168,Borehole,Cassava,2024,Business,6,148310,None
305,Eastern,Arua,University,6.232244936825806,27,Male,1016700,Tap,Cassava,2023,Farming,4,212160,Borrow
306,Central,Arua,Secondary,4.632192651465405,42,Female,1244332,Borehole,Coffee,2022,Casual,3,461480,None
307,Western,Gulu,University,5.657873456703826,61,Male,705871,Borehole,Maize,2022,Business,11,377747,None
308,Eastern,Gulu,Secondary,3.9496812882670063,52,Female,859650,Tap,Maize,2024,Business,5,48245,Reduce Meals
309,Western,Arua,Secondary,4.702799230966404,42,Female,648250,Tap,Cassava,2023,Business,3,285701,None
310,Eastern,Gulu,University,6.43948578327611,46,Male,1499503,River,Cassava,2023,Business,4,332618,Reduce Meals
311,Western,Arua,Primary,4.968052182229827,29,Male,586794,Well,Maize,2023,Business,10,227810,None
312,Northern,Arua,University,4.907815751176333,64,Female,999864,Tap,Coffee,2024,Casual,7,196739,None
313,Western,Lira,Primary,1.9525096430011892,57,Male,1839922,Tap,Cassava,2024,Business,9,353372,None
314,Northern,Kampala,Secondary,3.26222016613009,29,Female,258175,Tap,Maize,2023,Casual,8,261882,Borrow
315,Northern,Arua,Primary,1.7996511925420466,23,Female,1281905,Well,Coffee,2024,Farming,3,216585,Reduce Meals
316,Western,Mbarara,Secondary,3.5570017765191215,27,Female,1654120,River,Beans,2023,Casual,8,65074,Borrow
317,Northern,Kampala,Primary,1.1735793131410068,19,Female,627463,Borehole,Coffee,2024,Business,9,58204,Reduce Meals
318,Central,Kampala,University,7.552702148572627,62,Female,468821,Well,Maize,2022,Farming,6,229669,None
319,Northern,Kampala,University,6.2529047026128985,42,Female,1179314,Tap,Coffee,2022,Casual,10,223872,Borrow
320,Eastern,Lira,University,6.963573335588655,24,Male,250357,Tap,Maize,2024,Casual,10,156647,Reduce Meals
321,Western,Arua,Primary,2.065174238089755,57,Male,1304388,River,Cassava,2024,Casual,9,473479,None
322,Central,Lira,Secondary,3.5091195877137906,40,Male,765904,River,Beans,2023,Business,4,207096,Reduce Meals
323,Western,Arua,Secondary,5.872279236086849,28,Female,654500,River,Cassava,2022,Business,8,413285,Reduce Meals
324,Eastern,Lira,Primary,3.422932182209408,53,Male,1691533,Borehole,Cassava,2023,Casual,8,155472,None
325,Eastern,Lira,Primary,0.6317996000448551,40,Female,1695270,Well,Maize,2024,Casual,9,417362,Borrow
326,Eastern,Mbarara,Secondary,2.2258625516641133,60,Male,385128,Well,Maize,2023,Farming,8,6846,None
327,Northern,Lira,Secondary,5.242608835636487,24,Female,684699,River,Maize,2023,Business,4,433568,Borrow
328,Northern,Gulu,Secondary,3.6801466084512464,44,Female,507678,Borehole,Maize,2024,Business,10,23694,Reduce Meals
329,Western,Mbarara,Secondary,2.5509176660657777,30,Female,410128,Well,Cassava,2022,Farming,6,283884,Reduce Meals
330,Western,Lira,None,2.245735132540341,34,Female,1837026,Tap,Maize,2023,Casual,11,442654,Reduce Meals
331,Central,Kampala,None,1.3691240500990902,49,Female,1402453,Tap,Maize,2024,Casual,10,30996,Borrow
332,Central,Gulu,None,1.4515710848323196,43,Male,1082412,Tap,Cassava,2023,Farming,5,63874,None
333,Western,Gulu,University,7.609539272005907,39,Female,1006575,Well,Beans,2024,Casual,5,97661,Borrow
334,Northern,Gulu,None,0.2,30,Male,1193332,River,Beans,2024,Casual,10,106945,Reduce Meals
335,Eastern,Mbarara,Primary,0.8684991786158354,29,Female,1356956,Tap,Coffee,2024,Farming,4,190754,Reduce Meals
336,Western,Lira,Primary,4.0809542949032025,24,Female,917833,River,Cassava,2022,Farming,11,175272,None
337,Central,Lira,University,5.362833239257707,18,Female,347089,Borehole,Maize,2022,Farming,6,22970,Borrow
338,Northern,Kampala,University,5.577762202924436,50,Male,1704994,Tap,Coffee,2024,Casual,8,404111,Reduce Meals
339,Western,Kampala,Secondary,3.177564620454234,31,Female,1732651,Borehole,Beans,2022,Farming,5,169143,Borrow
340,Western,Gulu,Secondary,6.279945923690523,64,Male,1289999,River,Beans,2023,Casual,5,183340,Borrow
341,Northern,Kampala,Secondary,4.693383300411523,60,Female,241713,Well,Cassava,2022,Business,5,415474,None
342,Western,Mbarara,None,2.16540797443538,58,Male,1729648,River,Maize,2022,Business,4,88890,None
343,Northern,Lira,University,6.996167545578729,34,Male,798598,Tap,Maize,2023,Farming,10,227249,Reduce Meals
344,Eastern,Gulu,Secondary,3.5981127887987667,21,Male,988637,Tap,Coffee,2023,Casual,11,57300,None
345,Northern,Kampala,Secondary,4.8312912832601675,56,Female,515410,River,Beans,2023,Casual,10,261387,Borrow
346,Northern,Mbarara,Secondary,2.6433840292031965,18,Female,867702,Tap,Coffee,2024,Casual,5,61915,None
347,Northern,Mbarara,Secondary,3.1047165479035055,58,Male,918550,Tap,Coffee,2023,Farming,9,139516,Borrow
348,Western,Kampala,Secondary,4.932975179261481,62,Female,1854727,Borehole,Coffee,2023,Casual,4,75147,Reduce Meals
349,Western,Lira,University,5.44274476917322,41,Female,876560,Well,Maize,2023,Casual,6,76064,Borrow
350,Northern,Kampala,University,6.610918530838126,51,Female,338260,River,Beans,2024,Casual,8,66535,None
351,Western,Gulu,Secondary,4.056487655644588,51,Male,1636953,Borehole,Coffee,2022,Business,7,3760,None
352,Central,Kampala,Secondary,3.6713379966628383,41,Male,464952,Tap,Beans,2024,Casual,11,167956,Reduce Meals
353,Central,Mbarara,None,0.2,32,Female,475995,Borehole,Beans,2022,Business,6,364859,None
354,Western,Kampala,Secondary,3.5710711088113074,34,Male,674106,Well,Coffee,2023,Casual,7,387635,Reduce Meals
355,Western,Lira,None,0.3750316230675145,30,Female,1444576,River,Coffee,2024,Casual,6,480693,Reduce Meals
356,Northern,Arua,Secondary,4.361439863287699,24,Female,723047,Well,Cassava,2024,Casual,10,419238,None
357,Eastern,Kampala,University,6.910490538699468,26,Male,608274,Well,Maize,2022,Business,10,185576,Borrow
358,Western,Lira,Secondary,4.5779614599368745,61,Male,738908,Borehole,Beans,2024,Casual,5,130992,Reduce Meals
359,Central,Lira,Secondary,3.5240137270256024,52,Female,1170259,Borehole,Coffee,2024,Farming,3,436346,Borrow
360,Northern,Mbarara,Primary,3.022777950465892,40,Female,787283,Well,Coffee,2022,Casual,8,174953,None
361,Western,Lira,Primary,0.9439932672263169,64,Female,1738558,Tap,Beans,2024,Business,4,62399,Borrow
362,Central,Lira,Secondary,2.3780952673476463,56,Male,760969,River,Coffee,2024,Business,4,429667,Borrow
363,Central,Lira,Primary,0.2,40,Male,1050941,Tap,Cassava,2023,Farming,5,444629,Borrow
364,Eastern,Lira,Primary,2.0007027604280028,43,Female,676555,Tap,Beans,2023,Farming,10,223129,Borrow
365,Northern,Gulu,Secondary,3.4467017756614426,18,Female,267703,River,Coffee,2023,Farming,5,324422,None
366,Northern,Gulu,Secondary,4.9893156118546,31,Male,923040,Borehole,Beans,2023,Business,9,113286,None
367,Eastern,Mbarara,Secondary,3.5513374129511304,49,Female,504280,Tap,Coffee,2023,Casual,11,422855,Borrow
368,Eastern,Kampala,None,1.4733763479442672,27,Male,1471028,Borehole,Coffee,2024,Casual,10,165693,None
369,Northern,Lira,Secondary,5.013296576583077,18,Male,713795,River,Maize,2024,Farming,3,228057,None
370,Northern,Kampala,Secondary,3.5136809243508846,22,Female,1599176,Tap,Beans,2023,Farming,9,254551,Reduce Meals
371,Western,Kampala,Secondary,4.498052210107176,20,Female,283086,Borehole,Maize,2022,Casual,9,144151,None
372,Western,Mbarara,Secondary,5.201927548955195,44,Male,1940279,Borehole,Coffee,2023,Farming,10,400111,Borrow
373,Eastern,Lira,Primary,1.2618372251944328,39,Female,1628249,Tap,Beans,2024,Casual,7,355659,None
374,Western,Lira,Secondary,4.224852338244644,35,Male,480398,River,Beans,2022,Casual,11,52142,None
375,Central,Arua,Secondary,3.517965616800686,33,Male,523417,Well,Cassava,2023,Casual,11,389301,None
376,Western,Kampala,University,5.625510117506861,19,Male,1701403,Borehole,Cassava,2022,Casual,10,405768,None
377,Western,Kampala,Secondary,2.6635482595097715,64,Female,317574,River,Coffee,2023,Business,8,92930,Reduce Meals
378,Central,Gulu,Secondary,3.0093514278213,30,Female,839135,Tap,Coffee,2024,Casual,8,442037,Borrow
379,Eastern,Arua,Secondary,4.2600290057520125,62,Female,305547,Borehole,Coffee,2023,Farming,3,97812,Borrow
380,Central,Gulu,Secondary,2.5891555444382535,33,Male,1701794,Borehole,Coffee,2022,Farming,8,164702,None
381,Western,Gulu,University,6.249272975911363,25,Male,737214,Borehole,Cassava,2024,Farming,6,70063,None
382,Eastern,Gulu,Secondary,5.0131944068528975,60,Male,954719,River,Beans,2023,Farming,6,130990,Reduce Meals
383,Western,Mbarara,Secondary,4.649010963418936,25,Male,1706056,Borehole,Maize,2023,Business,4,274391,None
384,Central,Mbarara,Secondary,3.669492377061843,27,Female,708237,Borehole,Beans,2023,Casual,6,279747,Reduce Meals
385,Central,Gulu,Secondary,5.889690413358724,50,Female,711500,Tap,Beans,2023,Casual,7,102099,Borrow
386,Western,Arua,Secondary,6.093036413911661,48,Female,1600247,Borehole,Cassava,2024,Farming,7,176636,Borrow
387,Northern,Kampala,University,6.8261224315397255,29,Male,569531,River,Beans,2024,Farming,7,262671,Reduce Meals
388,Northern,Arua,Secondary,1.731457084115692,26,Male,1538283,Tap,Beans,2023,Farming,6,449737,Borrow
389,Central,Lira,Secondary,5.08644819701626,54,Female,1148192,Well,Coffee,2024,Casual,3,199530,None
390,Central,Mbarara,University,4.506023659966415,26,Male,1212063,Tap,Maize,2022,Business,10,267993,None
391,Northern,Kampala,None,2.676146110720066,35,Female,1413778,Borehole,Beans,2024,Business,5,489052,Reduce Meals
392,Northern,Kampala,Primary,3.5835849007422986,47,Male,987357,Well,Beans,2022,Business,4,224388,Borrow
393,Western,Lira,Primary,4.274212504138021,49,Male,1237711,Tap,Maize,2022,Business,11,312458,Borrow
394,Western,Lira,University,7.0602655583677265,57,Male,775883,Borehole,Coffee,2024,Farming,9,176796,Reduce Meals
395,Northern,Gulu,None,0.838614232818162,40,Male,1378825,Tap,Cassava,2023,Casual,11,224748,Reduce Meals
396,Western,Mbarara,None,0.7498988663097761,28,Male,740609,River,Cassava,2024,Farming,4,279374,Borrow
397,Western,Mbarara,None,0.6537398289691029,37,Female,1416396,Borehole,Beans,2022,Business,11,354373,Reduce Meals
398,Eastern,Arua,None,2.1810686536747026,36,Female,1943964,River,Coffee,2022,Farming,11,334639,None
399,Western,Gulu,None,1.912271489505878,53,Female,1526871,Borehole,Cassava,2024,Business,11,363534,Borrow
400,Central,Gulu,Secondary,4.320225633434213,43,Male,1324709,River,Cassava,2022,Casual,6,435946,Reduce Meals
401,Western,Gulu,Secondary,3.477818692073028,27,Female,234187,Well,Cassava,2024,Business,5,478419,Reduce Meals
402,Western,Gulu,Primary,5.129212631300273,41,Female,243835,River,Cassava,2024,Farming,8,91937,Reduce Meals
403,Northern,Mbarara,Primary,3.4123746139628697,30,Male,1510779,Tap,Cassava,2023,Casual,5,375867,Borrow
404,Central,Mbarara,None,0.2,63,Male,1742620,Borehole,Beans,2022,Business,11,265467,None
405,Western,Gulu,Primary,1.983743984062873,51,Female,1465365,Tap,Cassava,2024,Business,5,393661,None
406,Western,Arua,Secondary,5.131776097408705,46,Female,1275811,River,Beans,2022,Casual,4,345089,Borrow
407,Eastern,Kampala,Secondary,3.400461078767316,53,Female,818496,Borehole,Maize,2024,Farming,10,141035,Reduce Meals
408,Western,Kampala,None,1.5515479588258887,24,Female,267114,River,Maize,2024,Casual,8,443727,Borrow
409,Western,Arua,Secondary,5.1507963003361485,47,Female,1949302,Well,Coffee,2023,Farming,10,382945,Borrow
410,Eastern,Gulu,Primary,0.2,34,Male,853479,Well,Beans,2024,Business,9,146509,Reduce Meals
411,Northern,Mbarara,University,6.69196230021075,30,Female,1632609,Well,Coffee,2023,Business,5,410071,Borrow
412,Western,Kampala,Secondary,4.131209153565122,41,Female,1854447,River,Maize,2022,Casual,10,81947,None
413,Eastern,Lira,Secondary,3.7879275443162106,48,Female,1280736,River,Maize,2023,Business,3,404063,Borrow
414,Central,Lira,Primary,2.801695134946041,44,Female,1085443,Well,Maize,2023,Casual,3,396452,Reduce Meals
415,Northern,Arua,University,7.4575196074958745,38,Female,1119284,River,Maize,2022,Business,10,324041,Borrow
416,Central,Gulu,None,1.3420509443246091,61,Female,1245843,Tap,Cassava,2023,Business,11,118636,None
417,Central,Kampala,Primary,2.126172605950568,18,Male,1829766,River,Maize,2023,Farming,8,275631,Borrow
418,Eastern,Gulu,Primary,3.1326212997842697,32,Male,1459846,Tap,Cassava,2024,Casual,7,339528,Borrow
419,Western,Kampala,Primary,2.549053409274357,20,Male,841137,Well,Cassava,2023,Casual,4,455639,Borrow
420,Eastern,Arua,University,6.569299586804521,23,Female,297052,River,Coffee,2024,Business,11,13155,Borrow
421,Eastern,Arua,Secondary,2.887720614661081,31,Female,852182,Well,Cassava,2023,Farming,8,273399,Reduce Meals
422,Eastern,Lira,Primary,0.9373452147339216,55,Male,363233,Borehole,Coffee,2022,Farming,10,120860,None
423,Eastern,Gulu,Secondary,2.86877020728593,50,Female,637715,River,Cassava,2022,Casual,11,395195,None
424,Northern,Lira,University,7.078329061220215,55,Female,887246,River,Cassava,2023,Casual,11,387740,None
425,Western,Gulu,University,6.720921252393648,25,Female,602016,Well,Maize,2024,Business,10,414521,Borrow
426,Central,Lira,Secondary,2.719715901792537,43,Male,249460,Well,Beans,2023,Casual,10,74543,None
427,Central,Mbarara,University,7.445917825793811,32,Male,1640144,Well,Cassava,2024,Business,5,35094,Reduce Meals
428,Western,Mbarara,University,8.174309513179095,31,Male,270975,Borehole,Beans,2023,Farming,5,428314,Borrow
429,Central,Mbarara,Secondary,3.6015063832836645,37,Female,1119868,Borehole,Beans,2022,Casual,4,220638,Borrow
430,Western,Mbarara,None,0.2,36,Male,1789432,Well,Beans,2022,Farming,3,426986,None
431,Central,Kampala,Secondary,3.4908736150980877,50,Male,1417740,River,Cassava,2024,Farming,6,9734,Borrow
432,Eastern,Mbarara,University,7.654460626794694,53,Male,1835543,River,Beans,2023,Business,4,203056,Borrow
433,Central,Arua,Primary,3.048529858534774,41,Female,265781,Well,Cassava,2024,Farming,4,301749,None
434,Western,Arua,University,5.877567313988521,27,Male,470574,Tap,Maize,2022,Business,7,77932,Reduce Meals
435,Western,Kampala,Primary,4.021172137764742,51,Male,666935,Borehole,Cassava,2024,Business,6,448835,Reduce Meals
436,Western,Mbarara,None,2.5482800659263987,53,Female,762980,Borehole,Coffee,2023,Farming,3,124109,None
437,Western,Mbarara,Primary,1.766993936723359,64,Male,1278662,Tap,Maize,2024,Farming,11,27881,Reduce Meals
438,Western,Mbarara,None,0.45670999703503323,53,Female,429334,Well,Beans,2023,Business,6,194473,Reduce Meals
439,Northern,Lira,University,6.2071720626205105,33,Female,1393549,River,Beans,2023,Business,7,424393,Reduce Meals
440,Northern,Gulu,University,6.292667224611454,32,Male,466051,River,Coffee,2022,Farming,9,40122,Borrow
441,Central,Lira,University,7.750538007928443,35,Male,429652,Borehole,Maize,2023,Business,4,243627,Borrow
442,Western,Gulu,Secondary,4.625329060476594,24,Male,1277180,Tap,Coffee,2023,Business,10,297441,Borrow
443,Central,Mbarara,Primary,3.3770787693505877,64,Female,1286445,River,Beans,2023,Casual,4,111513,Reduce Meals
444,Western,Mbarara,Secondary,4.8735651431867,39,Male,869897,Borehole,Cassava,2024,Casual,7,36680,Borrow
445,Western,Lira,Secondary,5.914527068193732,49,Male,1916437,River,Beans,2022,Casual,4,83452,Reduce Meals
446,Northern,Lira,Secondary,3.1406144561908595,60,Male,978845,River,Coffee,2024,Casual,4,51044,None
447,Northern,Gulu,Primary,2.880358530383916,36,Female,843549,River,Cassava,2024,Casual,6,489991,Reduce Meals
448,Eastern,Arua,Secondary,2.0261787437653025,57,Female,1679163,Borehole,Cassava,2022,Business,6,175156,Borrow
449,Northern,Gulu,Secondary,2.883044425903142,18,Female,576783,Tap,Beans,2024,Business,10,427405,Reduce Meals
450,Eastern,Lira,University,6.725146614065153,52,Male,630037,Well,Cassava,2024,Casual,8,144582,Borrow
451,Eastern,Lira,University,7.2182066127545355,22,Male,1992668,Tap,Maize,2023,Farming,10,352646,Borrow
452,Eastern,Kampala,Secondary,4.098184257970431,29,Female,587736,River,Beans,2024,Casual,9,22152,None
453,Eastern,Lira,Secondary,3.632807581187322,29,Male,1516793,Tap,Beans,2022,Farming,6,84738,None
454,Eastern,Kampala,Secondary,3.8105821225069625,38,Male,1232333,River,Maize,2024,Business,4,157517,Borrow
455,Central,Arua,None,2.5694409764241044,36,Female,1440653,Borehole,Beans,2023,Farming,11,207760,Reduce Meals
456,Northern,Gulu,University,6.4159678221198595,26,Female,1717889,Borehole,Coffee,2024,Business,4,464369,None
457,Eastern,Gulu,University,8.549241622043528,60,Female,1528821,Borehole,Coffee,2022,Farming,3,394411,None
458,Western,Kampala,Secondary,4.9940170735411336,53,Male,1752844,River,Beans,2023,Business,10,104533,Borrow
459,Northern,Gulu,Primary,2.9575373461482304,59,Male,624642,Tap,Maize,2024,Business,11,191021,Reduce Meals
460,Northern,Lira,Primary,1.3064030896790044,64,Male,819165,Well,Cassava,2022,Casual,3,25433,None
461,Eastern,Mbarara,Secondary,5.135238161399627,49,Female,469457,Well,Maize,2022,Business,9,398521,None
462,Central,Kampala,None,0.7062294222515006,52,Female,1934709,Borehole,Coffee,2024,Casual,4,189932,Reduce Meals
463,Eastern,Gulu,University,5.6055602419943,48,Male,259668,Well,Beans,2024,Casual,8,204685,None
464,Central,Kampala,None,1.7128436130793774,49,Female,554100,River,Maize,2023,Casual,7,48648,Reduce Meals
465,Western,Kampala,Primary,1.1120539394334603,54,Female,926610,Tap,Cassava,2024,Farming,3,194162,Borrow
466,Northern,Mbarara,University,6.037758537870418,49,Male,839375,Well,Cassava,2023,Farming,4,227993,None
467,Western,Lira,Secondary,4.189884088531088,60,Female,581595,Well,Cassava,2024,Business,4,42113,Borrow
468,Central,Kampala,Primary,4.7184214241147275,54,Male,1865539,Tap,Cassava,2022,Casual,8,246602,Reduce Meals
469,Central,Gulu,Primary,1.8130842442075124,56,Female,291634,Well,Maize,2022,Casual,3,365648,Borrow
470,Western,Arua,None,0.7417834806994246,55,Male,1159798,Tap,Cassava,2022,Business,6,130431,Borrow
471,Central,Kampala,Secondary,4.932345054421646,47,Female,1917518,River,Coffee,2022,Casual,7,173714,Borrow
472,Western,Kampala,None,0.2,49,Male,309119,River,Cassava,2023,Business,4,295206,Reduce Meals
473,Northern,Mbarara,Secondary,4.6428063810209155,62,Female,1917696,River,Coffee,2022,Casual,4,333777,Reduce Meals
474,Western,Lira,University,8.005926807616587,19,Female,533935,Borehole,Maize,2023,Farming,9,497932,Reduce Meals
475,Northern,Arua,Primary,2.1929051152888985,28,Female,1592878,River,Coffee,2023,Business,9,41604,Reduce Meals
476,Western,Gulu,University,7.826154281396866,37,Female,1153487,Well,Maize,2023,Business,8,241201,Reduce Meals
477,Central,Arua,University,7.0914499232118064,54,Female,1682101,Borehole,Cassava,2024,Farming,3,137750,None
478,Western,Gulu,None,0.46931803619621937,26,Male,229715,Borehole,Beans,2023,Business,5,32121,None
479,Central,Lira,University,6.6021953141034935,55,Male,1153919,Borehole,Coffee,2024,Farming,11,441719,None
480,Western,Gulu,Secondary,3.8202426600197583,36,Male,418400,River,Coffee,2023,Casual,3,125015,Borrow
481,Western,Mbarara,University,6.712361742183522,57,Female,1749904,Borehole,Beans,2024,Farming,4,349084,Borrow
482,Eastern,Mbarara,Secondary,4.3527178992198285,24,Male,1598980,River,Maize,2024,Farming,10,464495,Reduce Meals
483,Central,Mbarara,Secondary,4.788199934971857,22,Female,1169085,River,Maize,2022,Business,9,278638,Reduce Meals
484,Eastern,Mbarara,Secondary,4.708668249587136,64,Female,859012,Borehole,Cassava,2023,Casual,11,175257,None
485,Central,Arua,University,4.368286428737852,59,Male,1477606,Borehole,Coffee,2024,Farming,6,402894,Reduce Meals
486,Eastern,Lira,Secondary,4.102691811227974,41,Male,1655820,Well,Maize,2022,Casual,6,168704,Borrow
487,Northern,Gulu,Secondary,2.690578086593238,58,Female,344875,Borehole,Cassava,2023,Farming,9,46235,Reduce Meals
488,Western,Gulu,University,6.524272747532674,24,Female,468451,River,Maize,2022,Business,3,132720,None
489,Central,Mbarara,Primary,2.37621041218908,28,Male,1673117,Well,Beans,2024,Farming,11,343357,Reduce Meals
490,Central,Mbarara,Primary,3.476148358084709,26,Male,520760,Well,Beans,2022,Farming,4,481517,Borrow
491,Western,Kampala,Primary,2.4698845328999006,47,Female,1177987,River,Beans,2022,Casual,3,198989,None
492,Central,Lira,Primary,2.75921801834326,58,Female,1149078,Borehole,Cassava,2023,Farming,9,16489,Reduce Meals
493,Central,Arua,Primary,3.293056380657429,20,Male,844116,Borehole,Coffee,2024,Business,8,339425,Borrow
494,Eastern,Gulu,University,8.0277522598193,39,Female,1988734,Tap,Beans,2023,Business,5,399034,None
495,Central,Kampala,Primary,2.3769860766430897,57,Female,660287,Borehole,Beans,2023,Farming,3,370334,None
496,Northern,Kampala,Secondary,4.294179441680409,37,Male,346004,Tap,Maize,2022,Farming,7,386757,Borrow
497,Northern,Gulu,Primary,2.510023302242254,49,Male,1657541,Well,Beans,2024,Casual,6,426365,Reduce Meals
498,Western,Arua,University,6.257401035568924,24,Female,1519447,Well,Coffee,2023,Casual,7,420528,Reduce Meals
